,reward,episodeLength,eps
0,-402.59194388985384,16,1.0
1,-401.0916160986749,8,0.9999666666666667
2,-401.49930481920705,12,0.9999333333333333
3,-401.02674027696935,7,0.9999
4,-401.29951914919087,18,0.9998666666666667
5,-400.7664286789826,14,0.9998333333333334
6,-402.26744381192384,12,0.9998
7,-402.6691734362305,23,0.9997666666666667
8,-401.2668912686276,8,0.9997333333333334
9,-401.4327072020314,17,0.9997
10,-398.11319717344736,30,0.9996666666666667
11,-402.7262789518834,25,0.9996333333333334
12,-402.83687300698506,26,0.9996
13,-402.39003925202724,12,0.9995666666666667
14,-400.7704740454774,11,0.9995333333333334
15,-404.15829274820885,19,0.9995
16,-402.5604917991862,44,0.9994666666666666
17,-401.5738402649126,12,0.9994333333333333
18,-401.35264485954406,9,0.9994
19,-402.087700918836,18,0.9993666666666666
20,-401.1015451035513,12,0.9993333333333333
21,-401.0881005779312,7,0.9993
22,-403.5553820652851,22,0.9992666666666666
23,-400.69147049713615,6,0.9992333333333333
24,-401.5058630164335,23,0.9992
25,-401.862260183183,26,0.9991666666666666
26,-401.8813904255117,12,0.9991333333333333
27,-400.9481492643052,10,0.9991
28,-409.14917409821015,38,0.9990666666666667
29,-402.532292274512,16,0.9990333333333333
30,-400.75514128576054,17,0.999
31,-401.5866032952612,10,0.9989666666666667
32,-402.64562610323986,12,0.9989333333333333
33,-400.995430518671,19,0.9989
34,-402.690537905633,12,0.9988666666666667
35,-401.6005057743452,12,0.9988333333333334
36,-401.0536959948685,13,0.9988
37,-402.83951158720294,17,0.9987666666666667
38,-400.52720698852403,25,0.9987333333333334
39,-409.42804727053715,65,0.9987
40,-399.9385430376349,30,0.9986666666666667
41,-402.03631357106127,25,0.9986333333333334
42,-401.2085451430501,8,0.9986
43,-403.5945168988171,18,0.9985666666666667
44,-404.55317453290616,14,0.9985333333333334
45,-400.7609312352759,6,0.9985
46,-403.10966296738616,36,0.9984666666666666
47,-401.2895278321253,10,0.9984333333333333
48,-400.9090329980228,11,0.9984
49,-402.8472670145692,14,0.9983666666666666
50,-403.3616959315512,31,0.9983333333333333
51,-401.2114352442552,7,0.9983
52,-401.12574621778805,33,0.9982666666666666
53,-401.5010715625478,19,0.9982333333333333
54,-401.2889232452535,7,0.9982
55,-401.98450676778685,12,0.9981666666666666
56,-401.56287037279697,18,0.9981333333333333
57,-401.4096780372506,21,0.9981
58,-401.24963244662564,23,0.9980666666666667
59,-404.96799215040033,23,0.9980333333333333
60,-403.06453879194146,24,0.998
61,-401.1485642075128,8,0.9979666666666667
62,-401.7279868452098,10,0.9979333333333333
