,timestep,x,x_dot,costheta,sintheta,theta_dot,action
0,0,0.0,0.0,1.0,0.0,0.0,0
1,1,0.0,0.0,1.0,0.0,0.0,2
2,2,0.023481812328100204,0.4696362316608429,0.9984073042869568,-0.056416694074869156,-1.128933310508728,2
3,3,0.07021599262952805,0.9346835613250732,0.9863570332527161,-0.16462001204490662,-2.1785216331481934,1
4,4,0.11623410880565643,0.9203623533248901,0.9656419157981873,-0.2598762512207031,-1.9504257440567017,1
5,5,0.16118600964546204,0.8990379571914673,0.9418788552284241,-0.33595266938209534,-1.5944491624832153,0
6,6,0.18177178502082825,0.411715567111969,0.9402742981910706,-0.34041768312454224,-0.09489130228757858,1
7,7,0.20120017230510712,0.38856765627861023,0.9462312459945679,-0.32349100708961487,0.35889074206352234,0
8,8,0.19639503955841064,-0.09610265493392944,0.971981942653656,-0.23505546152591705,1.8428184986114502,0
9,9,0.1673443615436554,-0.5810134410858154,0.9972168803215027,-0.07455559819936752,3.2530157566070557,0
10,10,0.11443530023097992,-1.0581812858581543,0.9888285994529724,0.14905692636966705,4.484786510467529,0
11,11,0.039128758013248444,-1.5061308145523071,0.9137795567512512,0.4062104821205139,5.373773097991943,1
12,12,-0.03306007385253906,-1.4437766075134277,0.7923219203948975,0.6101032495498657,4.757754802703857,2
13,13,-0.07928476482629776,-0.9244938492774963,0.6904745101928711,0.7233567237854004,3.0492115020751953,2
14,14,-0.10106072574853897,-0.43551918864250183,0.638784646987915,0.769385576248169,1.3845449686050415,0
15,15,-0.1425323188304901,-0.8294317722320557,0.5962441563606262,0.8028031587600708,1.0820616483688354,2
16,16,-0.1608533412218094,-0.3664204180240631,0.6172407269477844,0.7867743968963623,-0.5283247828483582,1
17,17,-0.17750896513462067,-0.33311235904693604,0.6746651530265808,0.738123893737793,-1.5056045055389404,1
18,18,-0.19223040342330933,-0.29442888498306274,0.7594402432441711,0.6505770683288574,-2.4388253688812256,1
19,19,-0.2046758532524109,-0.248909130692482,0.8557043671607971,0.5174650549888611,-3.289163827896118,2
20,20,-0.19214123487472534,0.2506923973560333,0.9560631513595581,0.2931608557701111,-4.9270920753479,1
21,21,-0.17749297618865967,0.29296520352363586,0.999578595161438,0.02902844548225403,-5.3699750900268555,1
22,22,-0.16260746121406555,0.2977102994918823,0.970920979976654,-0.23940016329288483,-5.4156107902526855,2
23,23,-0.12637372314929962,0.7246747612953186,0.8534443378448486,-0.521183967590332,-6.1297926902771,1
24,24,-0.09464696794748306,0.6345351338386536,0.6860511302947998,-0.7275533080101013,-5.33022403717041,1
25,25,-0.06760808825492859,0.5407776832580566,0.5142803192138672,-0.8576221466064453,-4.31758451461792,2
26,26,-0.023127593100070953,0.8896098732948303,0.34599342942237854,-0.9382369518280029,-3.737417697906494,2
27,27,0.039235275238752365,1.2472573518753052,0.20540504157543182,-0.9786770343780518,-2.928396701812744,0
28,28,0.07927504926919937,0.8007954359054565,0.12882964313030243,-0.9916667342185974,-1.5537772178649902,0
29,29,0.0981166809797287,0.3768326938152313,0.11627562344074249,-0.9932169914245605,-0.25298914313316345,1
30,30,0.11657974123954773,0.369261234998703,0.1618465930223465,-0.9868159294128418,0.9204478859901428,1
31,31,0.13441655039787292,0.3567362129688263,0.26385462284088135,-0.9645624756813049,2.08909273147583,1
32,32,0.15085582435131073,0.32878533005714417,0.41617414355278015,-0.9092849493026733,3.2443490028381348,0
33,33,0.1438378244638443,-0.14035990834236145,0.6198371052742004,-0.7847304940223694,4.7860283851623535,1
34,34,0.13261544704437256,-0.22444763779640198,0.8194056749343872,-0.5732139945030212,5.836766719818115,1
35,35,0.11684370785951614,-0.3154348134994507,0.9622012972831726,-0.2723393142223358,6.691989421844482,1
36,36,0.0982373058795929,-0.3721280097961426,0.9966895580291748,0.08130151778459549,7.1442952156066895,1
37,37,0.08057530224323273,-0.35324013233184814,0.9083187580108643,0.41827866435050964,7.003161430358887,1
38,38,0.06739304214715958,-0.2636452317237854,0.7335525155067444,0.6796327829360962,6.314250469207764,0
39,39,0.03791818395256996,-0.5894972085952759,0.49615761637687683,0.8682324886322021,6.08733606338501,2
40,40,0.03547195717692375,-0.04892450571060181,0.29383233189582825,0.95585697889328,4.418678283691406,2
41,41,0.057146068662405014,0.43348219990730286,0.15012994408607483,0.988666296005249,2.9506797790527344,0
42,42,0.05998813733458519,0.05684133991599083,0.05463990569114685,0.9985061287879944,1.9206514358520508,1
43,43,0.06350458413362503,0.07032891362905502,0.01760014146566391,0.9998450875282288,0.7413216233253479,2
44,44,0.0875716358423233,0.48134100437164307,0.04035033658146858,0.9991856217384338,-0.4552048444747925,1
45,45,0.11179572343826294,0.4844817817211151,0.12175192683935165,0.9925605654716492,-1.6338691711425781,0
46,46,0.11630858480930328,0.09025724977254868,0.2537029981613159,0.9672821760177612,-2.6890368461608887,0
47,47,0.10197778046131134,-0.28661614656448364,0.4227730929851532,0.9062355756759644,-3.599931001663208,0
48,48,0.06962613016366959,-0.6470329761505127,0.6064773201942444,0.7951008081436157,-4.302387714385986,1
49,49,0.04099120944738388,-0.5726984143257141,0.7950223684310913,0.6065801382064819,-5.3484368324279785,2
50,50,0.038855768740177155,-0.042708806693553925,0.9559494256973267,0.29353150725364685,-7.076658248901367,1
51,51,0.040002912282943726,0.02294287271797657,0.9967402219772339,-0.08067776262760162,-7.573690414428711,1
52,52,0.04013341665267944,0.002610071562230587,0.8994631171226501,-0.4369966685771942,-7.429827690124512,1
53,53,0.03520035371184349,-0.09866129606962204,0.7059504985809326,-0.7082611918449402,-6.695502758026123,2
54,54,0.04578934237360954,0.21177978813648224,0.4478967785835266,-0.8940852880477905,-6.387053489685059,1
55,55,0.04998273402452469,0.08386781066656113,0.20323966443538666,-0.9791290163993835,-5.194921016693115,1
56,56,0.04993247613310814,-0.0010051504941657186,0.004728032276034355,-0.9999887943267822,-3.998749256134033,0
57,57,0.027279013767838478,-0.4530692398548126,-0.13556843996047974,-0.9907679557800293,-2.8143045902252197,1
58,58,0.0039890301413834095,-0.4657996594905853,-0.2167540341615677,-0.976226270198822,-1.650020718574524,1
59,59,-0.01898292824625969,-0.4594391882419586,-0.24086733162403107,-0.9705580472946167,-0.49542340636253357,1
60,60,-0.041234225034713745,-0.4450259506702423,-0.20883482694625854,-0.977950930595398,0.6575205326080322,2
61,61,-0.042350634932518005,-0.022328201681375504,-0.10901453346014023,-0.9940401315689087,2.0230348110198975,2
62,62,-0.02322205901145935,0.3825715184211731,0.05581095814704895,-0.9984413385391235,3.301431894302368,2
63,63,0.014678697101771832,0.7580151557922363,0.27372822165489197,-0.9618070721626282,4.428544044494629,0
64,64,0.028524750843644142,0.2769210636615753,0.5406724810600281,-0.8412331938743591,5.879382610321045,2
65,65,0.057986170053482056,0.5892283916473389,0.7799052596092224,-0.6258975863456726,6.465561866760254,0
66,66,0.05971848964691162,0.034646403044462204,0.965324878692627,-0.26105156540870667,8.243410110473633,1
