,timestep,x,x_dot,costheta,sintheta,theta_dot,action,reward
0,0,0.0,0.0,1.0,0.0,0.0,0,0.0
1,1,-0.01121198944747448,-0.4481273591518402,0.9996324777603149,0.027108315378427505,1.0781662464141846,1,-0.00013052282120614973
2,2,-0.03353218734264374,-0.4440174698829651,0.9968435168266296,0.07939130812883377,1.0043667554855347,2,-0.0012327829096896907
3,3,-0.04435701295733452,0.011181099340319633,0.9950588941574097,0.09928618371486664,-0.2093556970357895,0,-0.002448321607482414
4,4,-0.054819103330373764,-0.42944854497909546,0.9936604499816895,0.11242273449897766,0.7344108819961548,2,-0.004343070312923768
5,5,-0.06487567722797394,0.02722100354731083,0.9930131435394287,0.11800393462181091,-0.5107377171516418,1,-0.007028698453999015
6,6,-0.0633133202791214,0.034927453845739365,0.9960409998893738,0.08889477699995041,-0.6533387899398804,2,-0.00804195196413455
7,7,-0.050215817987918854,0.4883348047733307,0.9996446371078491,0.026656437665224075,-1.8275460004806519,1,-0.00612639765219142
8,8,-0.025807108730077744,0.4867412745952606,0.9979152083396912,-0.06453876942396164,-1.8009614944458008,2,-0.0006226172938318536
9,9,0.009517190046608448,0.924028754234314,0.9841532707214355,-0.17731989920139313,-2.7160539627075195,2,0.007696923890661725
10,10,0.0662999376654625,1.3436048030853271,0.9452564716339111,-0.3263283371925354,-3.4052443504333496,1,0.01638255427325097
11,11,0.1325569450855255,1.3055057525634766,0.882629930973053,-0.4700685441493988,-2.8426239490509033,1,0.014756683745534446
12,12,0.1968005746603012,1.2642852067947388,0.8172407150268555,-0.5762965083122253,-2.130317449569702,1,-0.005446513989481261
13,13,0.2590227723121643,1.2251594066619873,0.7642991542816162,-0.6448618173599243,-1.3240989446640015,1,-0.049881564943752954
14,14,0.31937193870544434,1.189260482788086,0.7345730066299438,-0.678529679775238,-0.46715033054351807,0,-0.12228256733361342
15,15,0.36000001430511475,0.7343858480453491,0.7460912466049194,-0.6658437252044678,1.1531120538711548,1,-400.19704561495786
