,reward,episodeLength,eps
0,-405.3513437985805,23,1.0
1,-400.94702750394794,15,0.9999666666666667
2,-401.08238098064135,15,0.9999333333333333
3,-401.5335749934943,9,0.9999
4,-402.8345783970425,13,0.9998666666666667
5,-405.5019104175102,42,0.9998333333333334
6,-400.7144798138548,23,0.9998
7,-400.8856459160168,8,0.9997666666666667
8,-402.3757916655326,40,0.9997333333333334
9,-401.29691358861544,21,0.9997
10,-400.72588295231276,10,0.9996666666666667
11,-401.9933248433514,15,0.9996333333333334
12,-404.8402142682045,26,0.9996
13,-403.5937074910201,16,0.9995666666666667
14,-399.63993074315147,19,0.9995333333333334
15,-401.22968044589567,8,0.9995
16,-405.0889594743927,27,0.9994666666666666
17,-400.88815724402434,21,0.9994333333333333
18,-400.8772107881508,7,0.9994
19,-400.05426341263285,15,0.9993666666666666
20,-401.76400736135184,23,0.9993333333333333
21,-402.39635374417065,29,0.9993
22,-402.2085266794249,13,0.9992666666666666
23,-402.9447097352178,15,0.9992333333333333
24,-408.4379782791723,39,0.9992
25,-399.52814757267754,38,0.9991666666666666
26,-404.9701284741771,29,0.9991333333333333
27,-401.629606432869,35,0.9991
28,-401.39023861239804,9,0.9990666666666667
29,-402.3572940900542,13,0.9990333333333333
30,-401.08286289803686,13,0.999
31,-401.80467381168444,11,0.9989666666666667
32,-398.1807759735856,33,0.9989333333333333
33,-401.4759273927207,8,0.9989
34,-401.40814168144465,27,0.9988666666666667
35,-401.54232940428784,10,0.9988333333333334
36,-401.0407310587349,7,0.9988
37,-397.9242270006054,23,0.9987666666666667
38,-399.62380442298127,18,0.9987333333333334
39,-401.2343284168811,8,0.9987
40,-401.235880642979,8,0.9986666666666667
41,-404.1780196161771,18,0.9986333333333334
42,-400.8856459160168,7,0.9986
43,-400.905895487987,6,0.9985666666666667
44,-401.6735884308343,25,0.9985333333333334
45,-401.0138311964735,7,0.9985
46,-401.6094635370351,9,0.9984666666666666
47,-402.97285156853786,12,0.9984333333333333
48,-401.3820039180152,9,0.9984
49,-401.2675784611755,8,0.9983666666666666
50,-400.8907999907806,7,0.9983333333333333
51,-401.53073182442984,8,0.9983
52,-402.72070947874266,11,0.9982666666666666
53,-395.3524872523983,33,0.9982333333333333
54,-401.6135785517084,12,0.9982
55,-403.59541975617,23,0.9981666666666666
56,-402.1228426821923,17,0.9981333333333333
57,-399.1404857980719,22,0.9981
58,-401.2085451430501,8,0.9980666666666667
59,-400.9992108480737,7,0.9980333333333333
60,-402.98482234398494,16,0.998
61,-399.7632355185006,16,0.9979666666666667
62,-400.83783499281765,19,0.9979333333333333
63,-401.72591522666255,10,0.9979
64,-400.8815633216163,13,0.9978666666666667
65,-400.4367263816228,14,0.9978333333333333
66,-401.1218745748557,8,0.9978
67,-401.60251448143924,11,0.9977666666666667
68,-402.2286440915442,13,0.9977333333333334
69,-404.72815144496116,17,0.9977
70,-400.9436083501296,7,0.9976666666666667
71,-403.10349294782407,18,0.9976333333333334
72,-405.0348293131351,22,0.9976
73,-401.4636150963637,25,0.9975666666666667
74,-401.8135762377638,27,0.9975333333333334
75,-401.0881005779312,7,0.9975
76,-400.8143358921865,7,0.9974666666666666
