,timestep,x,x_dot,costheta,sintheta,theta_dot,action,reward
0,0,0.0,0.0,1.0,0.0,0.0,0,0.0
1,1,-0.009397875517606735,-0.3756246566772461,0.999741792678833,0.02272314950823784,0.9037492871284485,1,-9.169810800922914e-05
2,2,-0.028107795864343643,-0.3722214102745056,0.9977817535400391,0.06657027453184128,0.8419760465621948,0,-0.0008659898838543592
3,3,-0.0559515580534935,-0.7405297756195068,0.9917455911636353,0.12822121381759644,1.6206881999969482,2,-0.003699237967774327
4,4,-0.08331441879272461,-0.35368144512176514,0.9834992289543152,0.18091222643852234,0.5029796957969666,2,-0.009102854532789702
5,5,-0.09130837023258209,0.03391014784574509,0.9841247200965881,0.1774781197309494,-0.6419900059700012,2,-0.012905419408547239
6,6,-0.07993870973587036,0.42050349712371826,0.9930115342140198,0.1180175319314003,-1.7519208192825317,2,-0.012481247915437949
7,7,-0.049337830394506454,0.802137553691864,0.9999875426292419,0.004997252486646175,-2.7551918029785156,2,-0.006079310242620562
8,8,5.24996685271617e-05,1.170324444770813,0.9881716370582581,-0.15335188806056976,-3.5622315406799316,0,0.00591417068466498
9,9,0.04870064929127693,0.7748101353645325,0.9546054601669312,-0.2978730797767639,-2.3528103828430176,2,0.016767876675300573
10,10,0.09595753997564316,1.1129248142242432,0.909148097038269,-0.4164729118347168,-2.6955480575561523,0,0.02240631562319699
11,11,0.14159126579761505,0.7136583924293518,0.8632183074951172,-0.5048307776451111,-1.2820098400115967,0,0.01827062410615985
12,12,0.1674211472272873,0.3200302720069885,0.848646879196167,-0.5289598703384399,0.15588824450969696,0,0.005601979732348494
13,13,0.17358067631721497,-0.07438848167657852,0.8709635138511658,-0.49134764075279236,1.5913101434707642,1,-0.010807401476800566
14,14,0.169015035033226,-0.1079939603805542,0.9137474894523621,-0.406282514333725,2.202024459838867,1,-0.02828895679837931
15,15,0.16283927857875824,-0.13805188238620758,0.9566565155982971,-0.2912185788154602,2.688654661178589,2,-0.044619845270193914
16,16,0.16469024121761322,0.21455858647823334,0.9848636388778687,-0.17333106696605682,2.1296274662017822,0,-0.06023899343614543
17,17,0.16573534905910492,-0.17126110196113586,0.999182403087616,-0.04042929410934448,3.1934685707092285,0,-0.06826171515266762
18,18,0.14782093465328217,-0.5415506362915039,0.990013837814331,0.14097018539905548,4.035268306732178,1,-0.0496344883115912
19,19,0.12135298550128937,-0.5140194892883301,0.9442039728164673,0.32936134934425354,3.687788486480713,1,-0.008918340981945952
20,20,0.09664380550384521,-0.4730234444141388,0.8745230436325073,0.4849839508533478,3.1082146167755127,1,0.03938841075033136
21,21,0.074102483689785,-0.42876914143562317,0.7998379468917847,0.6002160310745239,2.367579460144043,0,0.0863530797048108
22,22,0.044883232563734055,-0.7390131950378418,0.7261896133422852,0.6874945163726807,2.1744401454925537,1,0.13186894404279026
23,23,0.008966248482465744,-0.6987846493721008,0.664612352848053,0.7471883296966553,1.2481505870819092,2,0.16749284571126888
24,24,-0.016437945887446404,-0.3181692063808441,0.6459420323371887,0.7633864879608154,-0.25848478078842163,0,0.17635348085286284
25,25,-0.04015751928091049,-0.6306080222129822,0.6634761095046997,0.7481974959373474,-0.664227306842804,1,0.16423038516223426
26,26,-0.07078907638788223,-0.5938531756401062,0.7047902941703796,0.7094156742095947,-1.596926212310791,2,0.13507710769275533
27,27,-0.0906178429722786,-0.19629500806331635,0.7832276821136475,0.6217349767684937,-3.112338066101074,2,0.08785718182020355
28,28,-0.0901011973619461,0.21969351172447205,0.8880559206008911,0.4597354233264923,-4.609198570251465,1,0.03567646741426518
29,29,-0.0778074786067009,0.2681589126586914,0.9730285406112671,0.23068466782569885,-5.134701251983643,2,-0.0016492912105166985
30,30,-0.05445627123117447,0.6588537096977234,0.9986465573310852,-0.052010416984558105,-6.188882350921631,1,-0.006736984316155684
31,31,-0.02222432754933834,0.6220481991767883,0.9375711679458618,-0.34779348969459534,-5.860636234283447,0,0.029979615477624313
32,32,-0.0018840678967535496,0.1925705522298813,0.8185817003250122,-0.5743901133537292,-4.3830485343933105,1,0.09070026988950784
33,33,0.0061327493749558926,0.1291617900133133,0.6900562644004822,-0.7237557172775269,-3.4873695373535156,0,0.15487785036493212
34,34,0.0026170327328145504,-0.26558154821395874,0.5855640172958374,-0.8106261491775513,-1.9583762884140015,2,0.20720087164166703
35,35,-0.0030894847586750984,0.03786611557006836,0.5158505439758301,-0.8566786050796509,-1.3676499128341675,1,0.24205087715705284
36,36,-0.0019768367055803537,0.007605928927659988,0.47974327206611633,-0.8774089217185974,-0.29538530111312866,1,0.2601185951549967
37,37,-0.0022941185161471367,-0.020585911348462105,0.4903993308544159,-0.8714978694915771,0.7821142673492432,1,0.2547871794128899
38,38,-0.004125741310417652,-0.05414188653230667,0.5466337203979492,-0.837371826171875,1.8453816175460815,2,0.22664058473324158
39,39,0.0006907164352014661,0.24640683829784393,0.6322847604751587,-0.7747360467910767,2.378692626953125,0,0.18385641264857946
