,0
129,-200.3166835276442
130,-189.11383105952498
131,-191.3826509015106
132,17.895957978243302
133,116.16025278604923
134,83.51876070963233
135,5.0185939519264915
136,3.9476037202248526
137,19.896851876640206
138,-124.29456866232405
139,-200.19916330392667
140,6.967199077884824
141,6.9292654114329455
142,-200.25874528530107
143,-186.4192862368827
144,-187.37779013316703
145,55.72532628987687
146,8.664162334549454
147,-185.47592291827598
148,-190.83186521906947
149,11.61086688530044
150,63.39704921066863
151,-200.11343446262512
152,-199.14346624283027
153,111.84038908880841
154,-175.9943402988146
155,-198.21412350782683
156,-195.11109746509956
157,-200.4083469083972
158,-200.78810137028358
159,-200.07111622917844
160,-177.70021814929027
161,-200.4692415983941
162,-200.3070362710757
163,35.70211497708449
164,-189.97711965093345
165,23.016136369204006
166,-198.41108945936693
167,-190.54722724474698
168,-198.11821003528405
169,23.02172210772646
170,-197.62792833476087
171,-151.0396033903608
172,-195.18804256467428
173,15.38547738299227
174,44.50747398167998
175,-194.28290678363035
176,-195.93214621128024
177,-200.61732897973482
178,27.89765084678626
179,-167.61558650495414
180,-199.13860676456216
181,26.940562683408444
182,-198.75095140602878
183,-198.51265862638036
184,29.242005231512277
185,32.424235625298564
186,-189.4625561900202
187,-160.52361935630393
188,-161.14987328427083
189,-197.68405874293862
190,-192.33983595955695
191,-194.1136135704726
192,3.7352826920085906
193,15.69052334159156
194,-199.26711084686735
195,-200.58757106861106
196,72.08399649771826
197,-192.77643588873306
198,-182.95514651884255
199,-201.46335926163368
200,-201.1162649388892
201,91.04106841999723
202,-129.34170427071868
203,-199.438236015862
204,-173.81618280167237
205,-200.33585649880231
206,-200.03992865455197
207,14.396639696486424
208,-200.47649235442918
209,-193.43470704489835
210,-184.46142485245713
211,-190.84326253497565
212,29.75273316773724
213,-195.62463823883178
214,-200.29659901750892
215,-193.52797517059264
216,9.128093046089441
217,-201.26923539852638
218,-199.80971483254658
219,-170.7789271232952
220,28.739508030104666
221,-197.7445743826059
222,-198.00075676905416
223,-198.21905853503586
224,-169.1191871462981
225,15.83038027047153
226,-200.86457201866963
227,76.69653548716582
228,-199.82871292529498
229,-189.68414310335493
230,-200.2417899761495
231,223.03527439879318
232,14.861519292880061
233,-196.28799279235574
234,-193.49416227067906
235,-191.62642985602994
236,-192.45996344617856
237,106.68116252819544
238,-200.23561690370292
239,-160.48265968902572
240,-182.6979441298679
241,20.244807859329324
242,-190.40294631983508
243,-197.5086932796598
244,64.82467897969202
245,-201.6089926436464
246,-167.0666580177783
247,19.398831705717157
248,95.8298129086725
249,-197.32364486182485
250,-199.56323106620314
251,38.05271599527971
252,-193.39866785804284
253,-200.05125577735205
254,-161.4966347384196
255,253.57605577241486
256,114.63367751012845
257,-199.47333807241907
258,164.94293295650974
259,-195.01792179129188
260,-200.22292097357945
261,7.0011539073655245
262,86.99619526032963
263,45.45474498215909
264,-200.4439032904143
265,76.0850409737967
266,183.86841021787797
267,-110.35667168073374
268,54.5291132846377
269,15.685558039514646
270,-175.2378905242727
271,-200.17191273063617
272,-186.8559765111534
273,160.8532940273197
274,-114.85166299727204
275,176.4276764212432
276,-190.6604080532701
277,-200.34326722062227
278,34.906540481083105
279,273.53528668074296
280,52.88408321659346
281,-185.42890473360976
282,251.75490729638489
283,-199.72442177539966
284,133.21832438647823
285,-200.01950463062244
286,-150.52096939446432
287,-165.73790458209646
288,72.76610640863177
289,-195.76127481358859
290,-161.36871795013215
291,-201.31755056865435
292,-175.12030899442667
293,-126.6821765881821
294,37.52262682880966
295,349.82352417021707
296,-181.87690005063934
297,-193.55367350376827
298,-75.08576224419602
299,121.1327827429322
300,178.67566444432444
301,-200.2096218139005
302,263.65206483550276
303,-199.5329900826614
304,104.70648628866132
305,177.2864752722576
306,-197.40103149295877
307,-181.5233247244919
308,-184.33978427701743
309,-200.3604578194244
310,411.26907059158367
311,-93.98902730941327
312,-190.6352421917638
313,59.33577261143251
314,-105.07585342811645
315,-197.81721456665775
316,-99.85285111635325
317,-188.7165311125997
318,-199.47840579721196
319,-192.9271282201772
320,557.0846593318823
321,214.225998016528
322,-165.63461645388878
323,25.27063126692221
324,-200.44183698707104
325,-58.072138107962246
326,127.12404043494968
327,-182.19151217114864
328,-198.39299597007283
329,-201.1089511706643
330,-200.20723272640709
331,-193.18579308969444
332,-194.58939333577544
333,-199.52981155270444
334,-198.45216582509346
335,221.0474175860615
336,124.01530599480255
337,-200.24798790666227
338,-200.72254400892686
339,-51.56411527267866
340,-186.00142185637597
341,211.11390280279448
342,-102.97016548623934
343,-199.28033911227135
344,322.72505612593915
345,-185.05900448242818
346,146.1876682657745
347,163.54934080537902
348,-200.25654538326052
349,-89.8502948647273
350,-200.26547132716053
351,-200.15112976346813
352,88.47657936040927
353,-200.55108662415435
354,-187.1761223169761
355,173.75552641226324
356,-200.15989541821878
357,-190.05039006515756
358,-86.81386836464965
359,-200.3507317860838
360,234.23263701043305
361,-199.28301197781494
362,-198.49098019098395
363,-198.5631554856181
364,-199.5479393005998
365,-201.06124021541808
366,246.10775713889936
367,-200.15954421755765
368,215.48609885133232
369,-200.74876332146002
370,-200.51221389744674
371,-200.14127714294244
372,127.6629629907661
373,-130.30687451581773
374,-200.46236917685326
375,-193.1901138770715
376,-199.63489201984433
377,-200.2775805300019
378,-200.16408620107697
379,461.62110102020324
380,244.98830159015384
381,-92.88005287089335
382,-197.84767273523735
383,320.33092307031575
384,-201.1919831253563
385,-156.14946332167685
386,-200.6590501500595
387,-196.47542727419668
388,-195.70328966826904
389,-117.65067014083216
390,-199.51580469208608
391,-200.10666230266602
392,-147.45746140359006
393,-144.54096115662503
394,-180.84310944590527
395,-39.10765152625103
396,-200.71616229304323
397,-64.24420732820988
398,180.32297432711434
399,-198.26177405457628
400,-197.92524768259136
401,-200.38301641306478
402,-42.85636693882296
403,215.00583086710864
404,-190.24149886376495
405,-199.05473655714343
406,-200.27833117114503
407,-200.79159703341662
408,-5.810579331924544
409,-112.39177475867135
410,-200.391756734929
411,-201.2077355953333
412,369.16553158628153
413,-201.84762409990225
414,263.3929972495024
415,-62.31481055234718
416,-141.72922154370318
417,-198.70023950400542
418,-187.56963445612595
419,-197.91521957879027
420,309.0036588662127
421,-198.67725519748316
422,-174.9945089578572
423,-200.67575367774458
424,-200.2743299963763
425,-146.6863477858051
426,263.78695818992867
427,-197.19740650632235
428,-195.26106984239445
429,-200.93984939400903
430,-202.56607423086484
431,-196.22518830081538
432,-200.2582179731603
433,-197.63560830399317
434,-56.32536958546132
435,-183.1527961284636
436,-184.14158030373088
437,-193.8222321375372
438,292.27695176916063
439,304.2943680674406
440,-132.22764631360042
441,529.0950785154561
442,-158.0910398392728
443,600.1725827773829
444,-198.3987892857497
445,-198.2135219728444
446,-199.88686056156806
447,-200.04930285178472
448,-195.52984325436273
449,-200.7601457200121
450,-200.42349520080532
451,338.354970192059
452,-195.29450326765456
453,-199.37107564636773
454,391.4410985627028
455,582.4361861379251
456,231.29919397058964
457,107.61248728513007
458,-199.58986856765063
459,-199.58455101514585
460,-71.36094995433677
461,549.095087779322
462,-198.44144153303876
463,-195.70241926635174
464,88.79689941134946
465,-198.29597640734366
466,-119.0984899477461
467,-199.63184072596871
468,296.1524653312058
469,164.98468297101425
470,-177.56865413711498
471,-187.8642465780753
472,-197.98316535757533
473,-198.936927003531
474,-200.23373481064337
475,-200.17531904869384
476,-199.96553595043764
477,-194.74828460726835
478,-200.65843993466348
479,-133.78794514818523
480,230.70015474055023
481,-200.76929469639623
482,-192.38543314986686
483,150.2965116092278
484,-199.85386067007832
485,-200.53812995269888
486,-200.49977962320665
487,-164.60365193375432
488,-192.85361438204666
489,-200.48414544037993
490,107.75029465039283
491,-200.25914603983662
492,-201.4912704258655
493,-186.97703767181991
494,286.1327510199546
495,-200.6183777986697
496,-200.54011211351454
497,-201.19104520261487
498,-146.52004278184134
499,-200.8617701029756
500,-60.73874972208901
501,-200.5699065533129
502,-200.38966328459892
503,-200.4455637768846
504,-183.5226231029378
505,-193.00432074649285
506,-200.22055274966525
507,-200.32128011884146
508,-200.10040530654302
509,-119.19108331227257
510,-200.187204895992
511,-200.80377070977042
512,213.20897174604283
513,-200.18075364727198
514,-199.35106635640693
515,-200.4695138101212
516,156.4605294354268
517,-200.09390689111808
518,-200.2851155577786
519,211.03633469296068
520,-200.39809656428517
521,-193.50746716780407
522,-199.72208779648952
523,236.45000885331567
524,-197.09650476232073
525,-200.41288444988166
526,-197.17852066247687
527,-200.53849326456753
528,-200.2662581692615
529,-196.57758801472173
530,-199.7513501583265
531,-199.60269597161664
532,226.99191438424285
533,-200.6260724615949
534,-200.50673674269308
535,-200.18100020011903
536,-197.9399909535287
537,-159.61812697485053
538,-199.71443014216538
539,86.34888773526224
540,-196.56568009305417
541,-200.345119195028
542,-200.86561904869248
543,-200.35245609625832
544,-199.92074002399443
545,242.68892843751897
546,186.26705791103245
547,-199.1943651031236
548,-200.29094212992055
549,-88.33258560339591
550,-200.63716709887694
551,-189.80355681996556
552,39.459278448362305
553,-189.45973948989143
554,-200.34523175432616
555,232.56072969011564
556,-36.15556895544424
557,-200.47398849277866
558,-196.3208102995522
559,-200.34424075081992
560,-186.73262828965449
561,-106.94095976015402
562,-172.49359046703665
563,188.53058198780204
564,318.905521072845
565,-91.1444872178297
566,-199.6908134498427
567,-58.19680010546128
568,-198.09693439393368
569,-177.02044323462405
570,-181.85771489865243
571,-200.11346864130988
572,-144.78474930320937
573,-200.37784197611393
574,-200.6165359834739
575,-140.25982465903073
576,255.33723188090224
577,-200.643873542795
578,-197.2231780012472
579,-200.58859109748468
580,-107.2033195166483
581,-192.6230927842088
582,-200.21700973432243
583,-196.17004004668405
584,273.46520348493766
585,-192.70957368891035
586,-181.77584031738132
587,-200.13390110987416
588,-200.83167683769037
589,-200.31984785477604
590,427.1429020909287
591,-199.0630380322265
592,-198.67600150621175
593,-178.91219237373528
594,-199.2022842036548
595,230.90502494379245
596,-166.34350602283013
597,-199.70320259510294
598,-199.99844093545408
599,-200.54797789414607
600,-50.60203863234389
601,-121.51147481056672
602,-200.4708812819588
603,-183.63664981742474
604,215.26922397898898
605,189.37893199346382
606,-200.0828857037223
607,-102.74486445353708
608,-188.2946070811071
609,-193.7179444445304
610,-200.30356874571703
611,-168.0047727680244
612,458.3331298876779
613,516.2686716833941
614,468.56941698454665
615,-200.37089211890364
616,-200.08191887965617
617,-200.25571439832348
618,281.9382782461416
619,168.70713014691503
620,-200.65462852157333
621,299.8013352832768
622,622.3077140020417
623,405.08176690156904
624,-147.77186735194238
625,-178.98674185396402
626,-202.36925908079846
627,-200.64908336714873
628,-161.15263993934832
629,-200.37066166550522
630,-191.7365652624608
631,-198.5611661219296
632,-200.21915148396292
633,216.44549206908653
634,-179.06762472474028
635,-200.3602777715158
636,503.4482876361914
637,-201.55238773276514
638,-174.84599426123557
639,243.47591076204884
640,-199.3920853163212
641,-200.9041223265354
642,-194.09300456290802
643,-200.18280795696293
644,-144.17062235620176
645,-199.85673575320084
646,-200.37254366398918
647,-197.29398393500747
648,-159.71664005198915
649,-200.20463094849484
650,-63.06839654690475
651,525.2098890401953
652,-200.7626292320792
653,-200.04577046722906
654,-200.18198535533682
655,-200.69119207227456
656,-199.92917201447005
657,-200.53377637413783
658,-192.73720723263278
659,-199.852336358889
660,-142.33001250332393
661,-170.0657333227548
662,-200.58459303739048
663,-197.76377362110549
664,-200.24396182592713
665,-200.1583553727474
666,243.4491775295852
667,-161.96953994429927
668,-198.26288285015724
669,625.9056226650298
670,-195.37037010066004
671,-180.20312510572276
672,-197.5523758174507
673,-200.4211356218187
674,-181.17381353026462
675,-189.23948137345045
676,-130.88578034713365
677,-198.2516695187083
678,-93.09538893823125
679,-200.1767875948309
680,-200.81256503836804
681,-161.65667436919853
682,-183.30250142251592
683,177.07242930333408
684,-200.36909424417453
685,-196.29816190561257
686,-199.7571283479764
687,-143.27661967553468
688,-170.59881170531497
689,-200.6819371791457
690,-198.54015641144636
691,-140.78168783807723
692,7.295762151128997
693,-201.33110111479354
694,-200.85226169088375
695,594.7586652733423
696,382.7733119185156
697,-195.25480947029635
698,-200.16456577077247
699,-179.94672923740467
700,-199.54348507921821
701,-199.19913963623472
702,-200.98873285374523
703,-195.44249212339955
704,524.1951743952637
705,-195.734702033526
706,-200.28688313446716
707,-201.49001471371938
708,-197.65133012840184
709,-174.76610167915493
710,-190.34382370580408
711,-190.831069150889
712,-200.3597343749678
713,-200.1295214793912
714,-200.57579236725604
715,-180.08238120812103
716,332.762886889217
717,-200.392199759519
718,-185.79795540629132
719,274.75441658252373
720,-200.66996972264957
721,-134.6494610485039
722,-179.1796755810507
723,-200.31722560070364
724,557.7728429848098
725,-153.17538236789989
726,-199.18756895487712
727,-199.7358778069918
728,-200.38342467941365
729,-201.87488742696172
730,543.2414811034245
731,-178.89370886824634
732,-200.13989228191346
733,-200.30147437136853
734,-175.9199112920798
735,-198.38533672308085
736,-200.53606036208734
737,-200.13304603198395
738,-199.29648314145808
739,-200.26938888675798
740,-200.1002538328912
741,-196.8260744576381
742,-188.98909973065412
743,-151.11299435199015
744,-76.4970998835695
745,-192.09860582553398
746,-200.58152017030346
747,-200.39210778833905
748,344.63898723572544
749,175.1878887415231
750,-197.68092777772114
751,293.8618634790647
752,-199.9721158961508
753,-200.27136597356332
754,-200.65031899806792
755,-200.48606703524717
756,-200.41534702272585
757,-178.69153445022974
758,-200.3971757310297
759,629.3572223609415
760,-200.72474687726285
761,-199.961640859885
762,-81.94187907281567
763,-200.67035204105468
764,-199.82458120479865
765,-200.03287603717754
766,-200.29344611923122
767,-144.213828045
768,-200.49489590229598
769,-198.57610269504417
770,-200.3050959055484
771,382.9507717422718
772,775.6136435306876
773,286.1792623089713
774,-196.9111076730717
775,-200.46264700695735
776,-199.46670997217183
777,-200.3749713921254
778,-199.5048056879751
779,-200.5487306421052
780,-200.22919066521104
781,-200.1780690436193
782,-200.35420811717833
783,-193.99543380790695
784,362.8044287908763
785,-200.13747716833268
786,-191.8560022755805
787,614.3436900365288
788,-200.219062382956
789,-197.77672933469427
790,-200.24222688483815
791,-103.96732226542784
792,-200.45722872164404
793,-200.79066020805584
794,-200.99544416742563
795,-200.33894305713616
796,-200.47309461507322
797,584.3492307895432
798,597.1202634612911
799,269.1895477254038
800,-200.47794829452283
801,-200.11457439650604
802,-194.42788181006017
803,-200.15802160525047
804,-180.50822809085275
805,-201.86092627313104
806,199.5665786013922
807,-201.21605106479583
808,-174.70142087216414
809,623.5367075962455
810,-200.09905990007007
811,-199.70161434033022
812,-200.2855146264731
813,-194.695412176862
814,-201.84714738244168
815,696.3685776283932
816,-199.3391989810713
817,-200.44868408336984
818,-184.38731162862376
819,-200.0808621522077
820,-50.918424220505784
821,-200.79950774055325
822,-201.21332012894027
823,-200.2996170092756
824,-198.65139860788042
825,-190.38075080295297
826,-200.3631970997813
827,-153.2154156654182
828,-200.18711185103606
829,-170.279414603892
830,260.6731861363961
831,-192.59802552286692
832,-200.87915584647334
833,-200.71345793179856
834,-200.35353695865817
835,-200.8697618547521
836,-200.30225483503278
837,-200.3729841556245
838,-200.25804304189586
839,-200.33055425823434
840,-80.85181415958837
841,-198.85426835734515
842,-196.99649527780085
843,-200.13609065622308
844,-200.64005743258764
845,-200.24610353442907
846,-41.86806662639532
847,-200.66201276422248
848,-201.37292584844093
849,-199.72834818979547
850,-200.07916628629647
851,-200.42419134958635
852,-200.7522341575844
853,-196.3853083600724
854,-200.1385204385881
855,-200.26484705160624
856,-200.19704342217
857,-200.45315869813942
858,-200.64633810786344
859,-172.63744732847954
860,-196.68358458995465
861,-199.74451165076292
862,-200.3425012944561
863,-48.54683372775287
864,419.94318686929205
865,325.10620749545944
866,-200.30032177165486
867,-200.46675176771228
868,-197.5990568323088
869,-201.27285602096126
870,-197.20749824294134
871,-200.30201567798503
872,27.014739007549537
873,-198.90702821708823
874,-199.83817983029883
875,-200.29883060400127
876,-200.42779574620823
877,-97.57516670357663
878,-200.42782922788763
879,-20.906018128285808
880,-199.97752745172497
881,-200.19105516676396
882,-9.468385487482294
883,466.5413805136752
884,-200.73648629678834
885,-200.4503060875168
886,-200.21169043638182
887,-96.20335697217922
888,-197.42045128955198
889,-200.28390166491306
890,-196.71017062591346
891,-200.27646466827318
892,-200.30020129608863
893,-200.4500459686521
894,-200.11104800830634
895,-200.93121580869507
896,-200.85050564358346
897,-200.25740688013286
898,-200.5205751817989
899,-200.2257335529165
900,-200.2484346863124
901,-200.04081611923456
902,-200.2408878045986
903,-199.2485063092034
904,57.31662284667382
905,507.0265921510595
906,-200.8571252059212
907,605.0085834443256
908,-200.55320755695192
909,-200.21308902399707
910,-200.18407705180317
911,-200.06568446216792
912,-199.6966122493759
913,-200.4581230758207
914,-200.54844095952268
915,-197.1003974246437
916,-190.87244424396715
917,-200.19258882559603
918,-200.2279481163751
919,-200.12212783848264
920,-200.5949892609506
921,-197.108198243346
922,-200.1944744089506
923,-200.78991633156716
924,536.9405283798633
925,-200.03490916877396
926,-12.518135032720863
927,-200.14495461605802
928,-200.03754583959807
929,-200.37168104357139
930,-200.62485028324912
931,632.9156981794637
932,-198.19966341119022
933,-199.16528997730538
934,628.87782926942
935,-200.27561196477478
936,-189.91133374098115
937,-200.92731401251692
938,823.5039337586353
939,-201.00149058080652
940,-200.31724979867485
941,-201.6964208092229
942,-200.3690024093405
943,-188.97540570063134
944,553.2444178136988
945,-200.33577736697183
946,-200.66042976605638
947,-200.598109028971
948,-141.65119394876547
949,-200.28159382086952
950,-200.50391539783163
951,-200.21993590278765
952,120.72593237275697
953,-200.31886121220344
954,737.5666207252298
955,-199.63376464135007
956,815.224617638274
957,652.0700436582157
958,447.8956655887636
959,-200.68859361057642
960,-199.91773263289522
961,339.0324754743398
962,-200.26571682979784
963,782.8314602533109
964,-201.19811416462363
965,-200.36164830473643
966,-189.06759398278373
967,-200.51730319152125
968,-200.31512313908001
969,-31.805550000558952
970,-201.569105475711
971,-199.11778100202875
972,-199.75252106943117
973,-200.62452686446292
974,-200.20564359116094
975,-200.6256266908864
976,-54.163155652939
977,-200.32069901696394
978,631.4318311126598
979,790.621454413733
980,-200.27604068163896
981,-13.332975354511035
982,-200.73084166783156
983,-200.6216378243027
984,-200.73276645111991
985,-198.43788477823608
986,-88.73051807705569
987,596.0856046422864
988,-199.01631624579147
989,534.9390295325665
990,693.0915505175409
991,-200.4103685538078
992,-176.5487182096499
993,-200.562578426024
994,-200.57683845630046
995,551.0568242245806
996,-200.69122112475725
997,-201.32561005822524
998,435.2079102972554
999,-199.94512321839045
1000,-200.33341569380596
1001,-199.20837954456206
1002,510.5643992876226
1003,325.9944350827327
1004,340.94335108427913
1005,-199.82486764718695
1006,-200.63032595125276
1007,-97.92920390612464
1008,-200.17955116940547
1009,-200.52676515454064
1010,300.70213933689695
1011,-200.27719804885274
1012,364.8363305611351
1013,-197.19996715780883
1014,-200.34643687619655
1015,-200.60939266976405
1016,-200.4983760300955
1017,199.3161593423603
1018,-200.12568192801774
1019,734.7004706452902
1020,-200.16447754412232
1021,860.5555679324407
1022,-191.97737025147205
1023,-200.29711492708793
1024,733.4568711446888
