,timestep,x,x_dot,costheta,sintheta,theta_dot,action,reward
0,0,0.0,0.0,1.0,0.0,0.0,0,0.0
1,1,0.0,0.0,1.0,0.0,0.0,2,0.0
2,2,0.01121198944747448,0.4481273591518402,0.9996324777603149,-0.027108315378427505,-1.0781662464141846,2,-0.00013052282120614973
3,3,0.044734880328178406,0.8914968967437744,0.9943313002586365,-0.10632644593715668,-2.0786783695220947,2,-0.0021686614100693896
4,4,0.10016746819019318,1.3231500387191772,0.9731482267379761,-0.23017941415309906,-2.9160256385803223,0,-0.011657911299350367
5,5,0.15463067591190338,0.855604887008667,0.941872239112854,-0.3359712064266205,-1.4844603538513184,0,-0.030712739904175737
6,6,0.1857711672782898,0.39034661650657654,0.9287121295928955,-0.3708015978336334,-0.001320668961852789,2,-0.050633369101514364
7,7,0.21565592288970947,0.8048036098480225,0.9240648746490479,-0.3822356164455414,-0.48878243565559387,0,-0.07830113643929228
8,8,0.2442769557237625,0.33989763259887695,0.9289820790290833,-0.3701247274875641,1.0104767084121704,0,-0.11366911842398941
9,9,0.24960152804851532,-0.12744727730751038,0.9577682018280029,-0.28754138946533203,2.4792401790618896,0,-0.13463640825005005
10,10,0.23152406513690948,-0.5947949886322021,0.9911804795265198,-0.13251885771751404,3.8443169593811035,0,-0.12959873021761584
11,11,0.19037918746471405,-1.0462993383407593,0.9960576295852661,0.08870856463909149,4.970696449279785,0,-0.08863939698109312
12,12,0.12758827209472656,-1.4565638303756714,0.9368773102760315,0.34965819120407104,5.682096004486084,2,-0.009135589856082503
13,13,0.06720931828022003,-0.9603975415229797,0.8246320486068726,0.5656695365905762,4.063167095184326,2,0.0763912493403487
14,14,0.03120304085314274,-0.4838823974132538,0.7227047681808472,0.6911568641662598,2.4130735397338867,2,0.13621354275818434
15,15,0.018468746915459633,-0.02808513678610325,0.6652418375015259,0.7466279864311218,0.7865825295448303,2,0.16652635483775202
16,16,0.028261840343475342,0.4198436737060547,0.6659954786300659,0.745955765247345,-0.8270379304885864,1,0.16500543113241298
17,17,0.05017196759581566,0.45744964480400085,0.7128536105155945,0.7013128995895386,-1.7555651664733887,0,0.1372801343984208
18,18,0.06356699764728546,0.07745300233364105,0.7737172842025757,0.6335309743881226,-1.8651127815246582,0,0.10303943591471273
19,19,0.05780598893761635,-0.3091915249824524,0.8291143178939819,0.559079110622406,-1.8222084045410156,1,0.07708900557218086
20,20,0.04330632463097572,-0.2707632780075073,0.8849671483039856,0.4656534790992737,-2.516247034072876,0,0.052827835714709184
21,21,0.019729383289813995,-0.6747742295265198,0.9331207275390625,0.35956326127052307,-2.1122472286224365,2,0.032466520622796514
22,22,-0.0022480827756226063,-0.20415565371513367,0.9746643900871277,0.22367237508296967,-3.5579402446746826,0,0.012655171474511307
23,23,-0.023178579285740852,-0.6365826725959778,0.9976665377616882,0.0682748556137085,-2.6888232231140137,0,-0.00017639117327605965
24,24,-0.06616052240133286,-1.0843451023101807,0.9992058277130127,-0.039846841245889664,-1.6128586530685425,2,-0.010545937439717098
25,25,-0.10931894928216934,-0.6439003944396973,0.9894784688949585,-0.14468036592006683,-2.573282480239868,2,-0.024615805918423803
