,timestep,x,x_dot,costheta,sintheta,theta_dot,action
0,0,0.0,0.0,1.0,0.0,0.0,0
1,1,-0.023481812328100204,-0.4696362316608429,0.9984073042869568,0.056416694074869156,1.128933310508728,2
2,2,-0.023274777457118034,0.004140704404562712,0.9986109733581543,0.0526886060833931,-0.07467298954725266,0
3,3,-0.046346332877874374,-0.4614311456680298,0.9948276281356812,0.10157746076583862,0.9807988405227661,2
4,4,-0.04558612406253815,0.015204145573079586,0.9961470365524292,0.08769889175891876,-0.27882513403892517,2
5,5,-0.021049223840236664,0.49073800444602966,0.9999307990074158,0.011763622984290123,-1.520956039428711,1
6,6,0.0035351754631847143,0.49168798327445984,0.9978823065757751,-0.0650457814335823,-1.5371125936508179,2
7,7,0.05132400244474411,0.9557765126228333,0.9812845587730408,-0.1925632506608963,-2.5736377239227295,1
8,8,0.09822394698858261,0.9379989504814148,0.9526368975639343,-0.304110050201416,-2.3046092987060547,2
9,9,0.1669851392507553,1.375223994255066,0.8976605534553528,-0.4406875967979431,-2.9472081661224365,2
10,10,0.2565697431564331,1.7916918992996216,0.8123225569725037,-0.583208441734314,-3.3261666297912598,1
11,11,0.34353911876678467,1.7393872737884521,0.7320398688316345,-0.6812617778778076,-2.5362420082092285,0
12,12,0.36000001430511475,1.2532448768615723,0.7014601230621338,-0.7127087116241455,-0.8773460984230042,2
