,timestep,x,x_dot,costheta,sintheta,theta_dot,action
0,0,0.0,0.0,1.0,0.0,0.0,0
1,1,-0.023481812328100204,-0.4696362316608429,0.9984073042869568,0.056416694074869156,1.128933310508728,1
2,2,-0.046745382249355316,-0.4652714133262634,0.9940606951713562,0.10882692039012909,1.0519243478775024,0
3,3,-0.09303326904773712,-0.9257577657699585,0.9779807925224304,0.20869483053684235,2.023946523666382,1
4,4,-0.1384430080652237,-0.9081947803497314,0.9561991095542908,0.2927171289920807,1.736539363861084,2
5,5,-0.15951676666736603,-0.4214751124382019,0.9521209597587585,0.30572158098220825,0.27257999777793884,2
6,6,-0.15637429058551788,0.06284960359334946,0.9686960577964783,0.24824978411197662,-1.196462869644165,2
7,7,-0.12903395295143127,0.546806812286377,0.9928008913993835,0.11977631598711014,-2.6161696910858154,2
8,8,-0.07769827544689178,1.0267136096954346,0.9971833825111389,-0.07500199228525162,-3.9027411937713623,2
9,9,-0.003353434382006526,1.4868968725204468,0.94893878698349,-0.31546029448509216,-4.917383670806885,1
10,10,0.06873433291912079,1.4417552947998047,0.8561310172080994,-0.5167588591575623,-4.442382335662842,0
11,11,0.1151508018374443,0.9283294081687927,0.7763910889625549,-0.630251407623291,-2.7763240337371826,0
12,12,0.13699248433113098,0.4368337392807007,0.7400408387184143,-0.6725619435310364,-1.1157653331756592,1
13,13,0.1569978892803192,0.4001081883907318,0.7313284277915955,-0.6820254325866699,-0.2572668194770813,2
14,14,0.1972324550151825,0.8046911954879761,0.7257044911384583,-0.6880065202713013,-0.1641978621482849,0
15,15,0.21382495760917664,0.33184996247291565,0.7743328213691711,-0.632778525352478,1.4720450639724731,0
16,16,0.20636460185050964,-0.14920710027217865,0.8630849123001099,-0.5050588846206665,3.113722085952759,0
17,17,0.17400819063186646,-0.6471281051635742,0.9575749039649963,-0.2881844937801361,4.742396354675293,2
18,18,0.1628437340259552,-0.22328905761241913,0.9962180256843567,-0.08688870817422867,4.1066389083862305,0
19,19,0.12767775356769562,-0.7033196091651917,0.9836758971214294,0.17994917929172516,5.358664035797119,0
20,20,0.0705934390425682,-1.1416863203048706,0.8822926878929138,0.4707011580467224,6.183010578155518,1
21,21,0.017704034224152565,-1.0577881336212158,0.7230537533760071,0.6907917857170105,5.4499640464782715,1
22,22,-0.030484352260828018,-0.9637677073478699,0.5518814325332642,0.8339225649833679,4.47188138961792,1
23,23,-0.07478443533182144,-0.8860015869140625,0.4035157561302185,0.914972722530365,3.3852522373199463,2
24,24,-0.09556303918361664,-0.41557204723358154,0.3172813355922699,0.9483314752578735,1.849894642829895,2
25,25,-0.09422998130321503,0.026661105453968048,0.29852840304374695,0.9544007778167725,0.3942190706729889,0
26,26,-0.11261391639709473,-0.3676787316799164,0.31984642148017883,0.9474694132804871,-0.44834017753601074,0
27,27,-0.150684654712677,-0.7614148855209351,0.3790009319782257,0.9253962635993958,-1.2629812955856323,2
28,28,-0.1665996015071869,-0.31829890608787537,0.5026121735572815,0.864512026309967,-2.7580249309539795,1
29,29,-0.18015533685684204,-0.2711148262023926,0.6581403613090515,0.7528952360153198,-3.834569215774536,0
30,30,-0.21208176016807556,-0.6385284066200256,0.7988651394844055,0.601510226726532,-4.141200542449951,2
31,31,-0.2185327261686325,-0.1290193349123001,0.9380145072937012,0.3465960621833801,-5.82900857925415,2
32,32,-0.19893856346607208,0.39188337326049805,0.999860942363739,-0.016674943268299103,-7.412309646606445,1
33,33,-0.17954862117767334,0.387798935174942,0.9264912605285645,-0.37631627917289734,-7.3828277587890625,2
34,34,-0.14155395328998566,0.7598933577537537,0.7149778008460999,-0.6991471648216248,-7.767737865447998,0
35,35,-0.1332809031009674,0.16546110808849335,0.4798763692378998,-0.8773361444473267,-5.921570777893066,2
36,36,-0.10964690148830414,0.47268009185791016,0.23619544506072998,-0.9717055559158325,-5.241302967071533,1
37,37,-0.09039980918169022,0.3849419057369232,0.03616398572921753,-0.9993458986282349,-4.045535564422607,2
38,38,-0.05306490510702133,0.7466980814933777,-0.10853566229343414,-0.994092583656311,-2.898435354232788,0
39,39,-0.03696947172284126,0.32190871238708496,-0.19925285875797272,-0.979948103427887,-1.8369108438491821,1
40,40,-0.02069730870425701,0.3254432678222656,-0.2324274182319641,-0.9726137518882751,-0.6795454621315002,2
41,41,0.01680535264313221,0.7500532269477844,-0.19801944494247437,-0.980198085308075,0.7047154307365417,0
42,42,0.03434154391288757,0.3507238030433655,-0.11554833501577377,-0.9933018684387207,1.6705986261367798,1
43,43,0.05186866596341133,0.35054245591163635,0.026288410648703575,-0.9996544122695923,2.8419690132141113,2
44,44,0.08863720297813416,0.7353707551956177,0.22419758141040802,-0.9745436906814575,3.996562957763672,0
45,45,0.10202327370643616,0.2677214443683624,0.47592398524284363,-0.8794864416122437,5.397895336151123,2
46,46,0.13148874044418335,0.5893093943595886,0.7169193029403687,-0.6971561312675476,6.067179203033447,2
47,47,0.1773960441350937,0.9181461334228516,0.8981331586837769,-0.43972352147102356,6.322644233703613,0
48,48,0.19640715420246124,0.3802221119403839,0.9984790086746216,-0.05513370782136917,8.002582550048828,1
49,49,0.21466535329818726,0.3651641309261322,0.939363956451416,0.34292182326316833,8.103744506835938,0
50,50,0.21446499228477478,-0.004007135052233934,0.7132493257522583,0.7009103894233704,8.532950401306152,0
51,51,0.20152154564857483,-0.2588688135147095,0.37737220525741577,0.9260616898536682,8.14332389831543,0
52,52,0.1773994415998459,-0.48244208097457886,0.024253958836197853,0.9997058510780334,7.254014015197754,0
53,53,0.14007090032100677,-0.7465707659721375,-0.27661097049713135,0.9609819650650024,6.090440273284912,2
54,54,0.12739284336566925,-0.25356125831604004,-0.5180017948150635,0.8553795218467712,5.284951686859131,0
55,55,0.09544549882411957,-0.6389468908309937,-0.6700888276100159,0.742280900478363,3.796304702758789,2
56,56,0.08503943681716919,-0.208121195435524,-0.7926070094108582,0.6097328066825867,3.6148879528045654,1
57,57,0.07412740588188171,-0.21824058890342712,-0.8718170523643494,0.4898315966129303,2.876537322998047,1
58,58,0.06230990216135979,-0.23635008931159973,-0.9215079545974731,0.38835954666137695,2.2609167098999023,1
59,59,0.04950834810733795,-0.2560310363769531,-0.9520633220672607,0.30590108036994934,1.7593200206756592,1
60,60,0.035796329379081726,-0.2742403745651245,-0.9706107974052429,0.2406545877456665,1.3568905591964722,2
61,61,0.04458087310194969,0.17569085955619812,-0.9906442165374756,0.1364699751138687,2.122860908508301,0
62,62,0.02954893931746483,-0.3006386458873749,-0.995441734790802,0.0953715518116951,0.8276088237762451,0
63,63,-0.009271265007555485,-0.776404082775116,-0.9932003021240234,0.11641806364059448,-0.4233185350894928,2
64,64,-0.02507837489247322,-0.316142201423645,-0.9959734082221985,0.08964899182319641,0.5382628440856934,1
65,65,-0.041209377348423004,-0.3226200342178345,-0.9976260662078857,0.06886351853609085,0.4170289635658264,1
66,66,-0.05759096145629883,-0.3276316523551941,-0.9986101984977722,0.05270371958613396,0.3237982988357544,1
67,67,-0.07416513562202454,-0.33148351311683655,-0.9991957545280457,0.04009753093123436,0.2523973286151886,1
68,68,-0.0908862054347992,-0.33442142605781555,-0.9995438456535339,0.030201047658920288,0.19805286824703217,1
69,69,-0.1077180802822113,-0.33663755655288696,-0.9997502565383911,0.022348210215568542,0.15711137652397156,1
