0,150,0,-0.00620449
1,150,0.0502031,-0.0200812
2,150,0.100304,-0.0361595
3,150,0.15041,-0.0527048
4,150,0.200512,-0.0695837
5,150,0.250624,-0.0864626
6,150,0.300736,-0.103475
7,150,0.350829,-0.120354
8,150,0.400961,-0.137433
9,150,0.451066,-0.154779
10,150,0.501168,-0.171458
11,150,0.551263,-0.18847
12,150,0.601367,-0.205482
13,150,0.651478,-0.222161
14,150,0.701586,-0.23924
15,150,0.751698,-0.255985
16,150,0.801796,-0.273198
17,150,0.851898,-0.28981
18,150,0.902001,-0.306088
19,150,0.952137,-0.322834
20,150,1.00225,-0.339179
21,150,1.05235,-0.356191
22,150,1.10245,-0.372536
23,150,1.15255,-0.389215
24,150,1.20264,-0.40536
25,150,1.25273,-0.422039
26,150,1.30284,-0.438251
27,150,1.35296,-0.454729
28,150,1.40308,-0.471275
29,150,1.45319,-0.487486
30,150,1.50329,-0.503765
