0,-200,0,0.00820594
1,-200,0.0501912,0.0256186
2,-200,0.10028,0.0457665
3,-200,0.15098,0.0671153
4,-200,0.201054,0.0890645
5,-200,0.251132,0.110613
6,-200,0.301205,0.132363
7,-200,0.351278,0.154512
8,-200,0.401388,0.176394
9,-200,0.451455,0.19821
10,-200,0.501523,0.220093
11,-200,0.551574,0.242242
12,-200,0.601645,0.263858
13,-200,0.651715,0.286141
14,-200,0.701786,0.30809
15,-200,0.751862,0.330239
16,-200,0.801945,0.350854
17,-200,0.852075,0.374738
18,-200,0.902184,0.397088
19,-200,0.952318,0.419504
20,-200,1.00241,0.441586
21,-200,1.05252,0.463669
22,-200,1.10262,0.486352
23,-200,1.1527,0.508368
