,number,value,datetime_start,datetime_complete,duration,params_Ve,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
27,27,0.270629346370697,2021-07-02 15:14:19.363073,2021-07-02 15:16:16.671854,0 days 00:01:57.308781000,10.372081167383243,512,10000,0.99,1000,0.018651073815557938,medium,10,PRUNED
28,28,124.8068618774414,2021-07-02 15:16:06.408985,2021-07-02 15:17:58.904136,0 days 00:01:52.495151000,6.44026636102236,512,10000,0.99,1000,0.01578070028598356,medium,10,PRUNED
29,29,-177.34182739257812,2021-07-02 15:16:07.254287,2021-07-02 15:18:07.621942,0 days 00:02:00.367655000,6.5524877238418,512,10000,0.99,1000,0.01943018935970368,medium,5000,PRUNED
30,30,-73.97076416015625,2021-07-02 15:16:16.672605,2021-07-02 15:17:12.476622,0 days 00:00:55.804017000,6.158923808484353,512,10000,0.99,1000,0.023695045834767562,medium,800,PRUNED
31,31,-227.97848510742188,2021-07-02 15:17:12.477667,2021-07-02 15:17:24.481121,0 days 00:00:12.003454000,11.947744014540735,512,100000,0.99,5000,0.00016082429380298997,medium,50,PRUNED
32,32,403.3052062988281,2021-07-02 15:17:24.481978,2021-07-02 15:21:05.458379,0 days 00:03:40.976401000,7.383240263441574,512,10000,0.9,0,0.010127384667224723,medium,16,COMPLETE
33,33,353.4701232910156,2021-07-02 15:17:58.904953,2021-07-02 15:20:27.391222,0 days 00:02:28.486269000,7.369629236617236,128,10000,0.95,1000,0.0009364134154179875,medium,4,PRUNED
34,34,356.22955322265625,2021-07-02 15:18:07.622690,2021-07-02 15:20:40.897985,0 days 00:02:33.275295000,10.833119780103095,128,10000,0.999,1000,0.0010055206163354102,medium,4,COMPLETE
35,35,380.901611328125,2021-07-02 15:20:27.392347,2021-07-02 15:23:30.101251,0 days 00:03:02.708904000,11.22251679593466,256,10000,0.999,0,0.007210509030659153,medium,4,PRUNED
36,36,444.48779296875,2021-07-02 15:20:40.899780,2021-07-02 15:22:38.982981,0 days 00:01:58.083201000,11.332303758342618,256,10000,0.9,0,0.007845600526567768,small,4,COMPLETE
37,37,-402.0780334472656,2021-07-02 15:21:05.461751,2021-07-02 15:21:09.434960,0 days 00:00:03.973209000,8.309497931201776,64,10000,0.995,20000,0.0030118154759329937,small,4,PRUNED
38,38,1.6890239715576172,2021-07-02 15:21:09.436325,2021-07-02 15:22:29.075363,0 days 00:01:19.639038000,9.87629679978611,1024,100000,0.95,1000,0.006656040532071029,medium,1000,PRUNED
