0,-50,0,0.00153444
1,-50,0.050159,0.00480348
2,-50,0.100251,0.0084728
3,-50,0.15035,0.0124757
4,-50,0.200437,0.016612
5,-50,0.250544,0.0208151
6,-50,0.300635,0.0252183
7,-50,0.350731,0.0294213
8,-50,0.400819,0.0334909
9,-50,0.450927,0.0374271
10,-50,0.501021,0.0412299
11,-50,0.551129,0.0450326
12,-50,0.601225,0.0489021
13,-50,0.651323,0.0530384
14,-50,0.701413,0.0572415
15,-50,0.751524,0.0616447
16,-50,0.801616,0.0661146
17,-50,0.851722,0.070451
18,-50,0.901816,0.0745874
19,-50,0.951922,0.0785903
20,-50,1.00202,0.082393
21,-50,1.05213,0.0863959
22,-50,1.10223,0.0905322
23,-50,1.15232,0.0946686
24,-50,1.20242,0.0990718
25,-50,1.25252,0.103608
26,-50,1.30262,0.108012
27,-50,1.35274,0.112348
28,-50,1.40283,0.116418
29,-50,1.45293,0.120487
30,-50,1.50303,0.124357
31,-50,1.55314,0.128426
32,-50,1.60324,0.132629
33,-50,1.65336,0.137033
34,-50,1.70345,0.141502
35,-50,1.75355,0.146039
36,-50,1.80364,0.150376
37,-50,1.85374,0.154645
38,-50,1.90383,0.158648
39,-50,1.95394,0.162584
40,-50,2.00403,0.166454
41,-50,2.05414,0.170524
42,-50,2.10423,0.174727
43,-50,2.15434,0.179196
44,-50,2.20443,0.1836
45,-50,2.25454,0.188136
46,-50,2.30463,0.192339
47,-50,2.35473,0.196409
48,-50,2.40481,0.200345
49,-50,2.45492,0.204215
50,-50,2.50502,0.208217
51,-50,2.55513,0.212354
52,-50,2.60523,0.216624
53,-50,2.65533,0.221027
54,-50,2.70543,0.225497
55,-50,2.75554,0.229833
56,-50,2.80564,0.234036
57,-50,2.85575,0.238106
58,-50,2.90585,0.241909
59,-50,2.95596,0.245845
60,-50,3.00606,0.249848
61,-50,3.05617,0.254051
62,-50,3.10626,0.258254
63,-50,3.15642,0.26279
64,-50,3.20651,0.26726
65,-50,3.2566,0.271597
66,-50,3.30669,0.275733
67,-50,3.35678,0.279669
68,-50,3.40688,0.283539
69,-50,3.45698,0.287475
70,-50,3.50708,0.291544
71,-50,3.55719,0.295814
72,-50,3.60729,0.300151
73,-50,3.65741,0.304687
74,-50,3.70749,0.309091
75,-50,3.7576,0.31336
76,-50,3.8077,0.31743
77,-50,3.85781,0.321299
78,-50,3.9079,0.325236
79,-50,3.95802,0.329305
80,-50,4.00811,0.333375
81,-50,4.05823,0.337778
82,-50,4.10832,0.342181
83,-50,4.15842,0.346651
84,-50,4.20852,0.350988
85,-50,4.25867,0.355257
86,-50,4.30876,0.359194
87,-50,4.35886,0.363063
88,-50,4.40896,0.367066
89,-50,4.45905,0.371069
90,-50,4.50915,0.375339
91,-50,4.55926,0.379675
92,-50,4.60935,0.384078
93,-50,4.65945,0.388481
94,-50,4.70955,0.392818
95,-50,4.75964,0.396887
96,-50,4.80974,0.40089
97,-50,4.85985,0.40476
98,-50,4.90994,0.408763
99,-50,4.96005,0.412899
100,-50,5.01015,0.417102
101,-50,5.06026,0.421639
102,-50,5.11036,0.426042
103,-50,5.16047,0.430378
104,-50,5.21056,0.434515
105,-50,5.26068,0.438518
106,-50,5.31077,0.442454
107,-50,5.36086,0.446323
108,-50,5.41095,0.450326
109,-50,5.46104,0.454396
110,-50,5.51113,0.458732
111,-50,5.56122,0.463002
112,-50,5.61131,0.467405
113,-50,5.66141,0.471542
114,-50,5.7115,0.475544
115,-50,5.7616,0.479481
116,-50,5.81169,0.483217
117,-50,5.86179,0.487019
118,-50,5.91187,0.490889
119,-50,5.96197,0.495025
120,-50,6.01206,0.499228
121,-50,6.06216,0.503631
