,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
259,259,820.3236694335938,2021-06-16 18:54:45.802365,2021-06-16 18:57:25.507520,0 days 00:02:39.705155000,1024,50000,0.0898861668001911,0.26510015695239547,0.995,5000,8.707796311044641e-05,medium,1000,PRUNED
260,260,825.694091796875,2021-06-16 18:55:10.034725,2021-06-16 18:58:51.656305,0 days 00:03:41.621580000,1024,50000,0.05420609500552215,0.41708811846939753,0.995,0,0.001625101695741667,medium,1000,PRUNED
261,261,807.1758422851562,2021-06-16 18:57:25.508540,2021-06-16 18:59:10.474361,0 days 00:01:44.965821000,1024,50000,0.09699804373699386,0.4195638543347076,0.99,0,0.000153921568430935,small,1000,PRUNED
262,262,794.9380493164062,2021-06-16 18:58:51.657199,2021-06-16 18:59:54.117735,0 days 00:01:02.460536000,1024,50000,0.09661982163947697,0.28038370053895156,0.99,10000,0.0001480559918820331,small,1000,PRUNED
263,263,753.52490234375,2021-06-16 18:59:10.475152,2021-06-16 19:00:58.136916,0 days 00:01:47.661764000,1024,50000,0.04050141508603643,0.39183807261266984,0.9999,1000,0.000656694771734907,small,1000,PRUNED
264,264,796.1800537109375,2021-06-16 18:59:54.118938,2021-06-16 19:01:46.240155,0 days 00:01:52.121217000,1024,50000,0.10498478616542051,0.22953844615894134,0.9999,1000,0.00021899647616006898,small,1500,PRUNED
265,265,640.3085327148438,2021-06-16 19:00:52.997152,2021-06-16 19:02:51.988679,0 days 00:01:58.991527000,1024,50000,0.04419273190161277,0.39505701569456475,0.9999,1000,0.0006698470442841237,small,1500,PRUNED
266,266,798.6717529296875,2021-06-16 19:00:58.137768,2021-06-16 19:02:34.593458,0 days 00:01:36.455690000,1024,50000,0.10405624331341323,0.30933328572096447,0.99,5000,0.0002201381110410379,small,1500,PRUNED
267,267,1386.9039306640625,2021-06-16 19:01:46.241265,2021-06-16 19:05:40.766093,0 days 00:03:54.524828000,1024,50000,0.11210179371764818,0.21371820761247973,0.99,5000,0.0011276753248525835,small,1500,PRUNED
268,268,831.8673706054688,2021-06-16 19:02:34.594487,2021-06-16 19:04:47.782497,0 days 00:02:13.188010000,1024,500000,0.11764961723045328,0.21200625271717982,0.99,0,0.001105535277663579,small,1000,PRUNED
269,269,785.00830078125,2021-06-16 19:02:51.989504,2021-06-16 19:04:15.341572,0 days 00:01:23.352068000,256,500000,0.11226778247569351,0.2565132118873734,0.99,0,0.0012424399228479104,small,1000,PRUNED
270,270,-404.4454040527344,2021-06-16 19:04:15.342990,2021-06-16 19:04:20.107203,0 days 00:00:04.764213000,1024,50000,0.11770897688245387,0.21210740799822733,0.99,20000,0.0010658385310369433,small,1000,PRUNED
271,271,1421.3839111328125,2021-06-16 19:04:20.108186,2021-06-16 19:08:04.575178,0 days 00:03:44.466992000,1024,50000,0.12488835066552388,0.24172581108302277,0.99,5000,0.0003097863196797002,small,1000,PRUNED
272,272,-14.518341064453125,2021-06-16 19:04:47.783749,2021-06-16 19:06:23.532023,0 days 00:01:35.748274000,1024,50000,0.12481101729765406,0.23971993671496297,0.99,5000,0.00010921050161443053,small,1000,PRUNED
273,273,-265.8568115234375,2021-06-16 19:05:40.767160,2021-06-16 19:09:34.276455,0 days 00:03:53.509295000,1024,50000,0.1234087669698654,0.1575525450000094,0.999,5000,0.00032637332112320396,small,1000,PRUNED
274,274,1421.981689453125,2021-06-16 19:06:23.532829,2021-06-16 19:12:32.438782,0 days 00:06:08.905953000,1024,50000,0.09897701943989658,0.2298649776502123,0.999,5000,0.0008132532545459571,small,200,COMPLETE
275,275,810.9669799804688,2021-06-16 19:08:04.576105,2021-06-16 19:09:22.056451,0 days 00:01:17.480346000,128,100000,0.09924824607924775,0.1575846664694173,0.999,0,0.0008010072867255801,small,200,PRUNED
276,276,811.5499877929688,2021-06-16 19:09:22.057281,2021-06-16 19:10:56.194183,0 days 00:01:34.136902000,1024,50000,0.09411855813126163,0.22867503435882802,0.999,5000,0.0001877275731269602,small,1500,PRUNED
277,277,801.217041015625,2021-06-16 19:09:34.277462,2021-06-16 19:11:34.222268,0 days 00:01:59.944806000,1024,50000,0.09273451958988302,0.3735101669021449,0.99,0,0.00019992832951694995,small,1500,PRUNED
278,278,769.2374267578125,2021-06-16 19:10:56.195086,2021-06-16 19:12:59.129158,0 days 00:02:02.934072000,1024,50000,0.10337072198114634,0.44329473789657386,0.99,0,0.0005587450054126806,small,1000,PRUNED
279,279,1427.65576171875,2021-06-16 19:11:34.223760,2021-06-16 19:15:05.223402,0 days 00:03:30.999642000,512,50000,0.10216514295382743,0.17727494393556936,0.99,0,0.0008203741897568705,small,1000,PRUNED
280,280,787.1041870117188,2021-06-16 19:12:32.440326,2021-06-16 19:14:17.825971,0 days 00:01:45.385645000,512,50000,0.08443800341125869,0.44224367802001746,0.99,0,0.0005572775109411752,small,1000,PRUNED
281,281,755.5148315429688,2021-06-16 19:12:59.130417,2021-06-16 19:14:44.882590,0 days 00:01:45.752173000,512,50000,0.12963537693469654,0.1935107261968449,0.99,0,0.00024081435986713956,small,1000,PRUNED
282,282,821.12890625,2021-06-16 19:14:17.827164,2021-06-16 19:15:53.214211,0 days 00:01:35.387047000,1024,50000,0.106441965931793,0.192178881407584,0.99,5000,0.0002468147614919146,small,1000,PRUNED
283,283,595.7455444335938,2021-06-16 19:14:44.883633,2021-06-16 19:16:15.179113,0 days 00:01:30.295480000,1024,50000,0.10858122836003399,0.40464533491243837,0.99,5000,0.0003124798091277568,small,1500,PRUNED
284,284,630.124755859375,2021-06-16 19:15:05.224426,2021-06-16 19:17:55.582874,0 days 00:02:50.358448000,1024,50000,0.107385730859333,0.22144195497621671,0.99,5000,0.0004147141120119904,medium,1500,PRUNED
285,285,757.5875854492188,2021-06-16 19:15:53.215228,2021-06-16 19:18:58.055069,0 days 00:03:04.839841000,1024,50000,0.11994729678132035,0.40208331477858383,0.999,5000,0.0013879246359009936,medium,1500,PRUNED
286,286,-189.75277709960938,2021-06-16 19:16:15.180143,2021-06-16 19:19:40.779344,0 days 00:03:25.599201000,1024,10000,0.11358102877317475,0.21961201840135564,0.999,5000,0.050202922856722475,medium,1,PRUNED
287,287,-6.983597278594971,2021-06-16 19:17:55.583941,2021-06-16 19:18:18.935811,0 days 00:00:23.351870000,1024,50000,0.1146043071350937,0.4551731530207565,0.999,20000,0.00012468212511292082,small,1,PRUNED
288,288,1423.643798828125,2021-06-16 19:18:18.936665,2021-06-16 19:21:58.517180,0 days 00:03:39.580515000,1024,10000,0.11997447154354667,0.2041044839196752,0.95,5000,0.00019167911047807273,small,1000,PRUNED
289,289,-217.37979125976562,2021-06-16 19:18:58.056128,2021-06-16 19:21:00.538040,0 days 00:02:02.481912000,1024,10000,0.09857709819432128,0.20399343251975058,0.98,0,0.00017035778421528225,small,1000,PRUNED
290,290,1437.5224609375,2021-06-16 19:19:40.780388,2021-06-16 19:26:10.539854,0 days 00:06:29.759466000,1024,50000,0.09724526217051195,0.14484959950875104,0.95,0,0.0001776800856577509,small,1000,COMPLETE
291,291,1419.0113525390625,2021-06-16 19:21:00.539735,2021-06-16 19:27:00.470026,0 days 00:05:59.930291000,1024,50000,0.1191217076422498,0.1667023943183344,0.99,5000,0.0006814651316183759,small,1000,COMPLETE
292,292,658.5560913085938,2021-06-16 19:21:58.518106,2021-06-16 19:24:03.085616,0 days 00:02:04.567510000,1024,50000,0.09589533073619562,0.36534028167498195,0.99,0,0.0007043108596275291,small,1000,PRUNED
293,293,833.3827514648438,2021-06-16 19:24:03.086524,2021-06-16 19:25:36.997708,0 days 00:01:33.911184000,1024,50000,0.1375021817637642,0.07699514304411456,0.99,5000,0.0003496937827578653,small,1500,PRUNED
294,294,1406.3341064453125,2021-06-16 19:25:36.999141,2021-06-16 19:29:44.868694,0 days 00:04:07.869553000,1024,50000,0.09098825389740862,0.23516978419952111,0.99,0,0.00044085305477078876,small,1000,PRUNED
295,295,820.7130126953125,2021-06-16 19:26:10.541866,2021-06-16 19:28:11.972648,0 days 00:02:01.430782000,1024,50000,0.08936972209309267,0.2544353210930857,0.999,0,0.00023934419768129755,small,1000,PRUNED
296,296,-159.1845245361328,2021-06-16 19:27:00.471725,2021-06-16 19:29:05.824715,0 days 00:02:05.352990000,1024,50000,0.09019758362419877,0.14734055604367147,0.95,0,0.00013085674051429278,small,1000,PRUNED
297,297,776.5468139648438,2021-06-16 19:28:11.973547,2021-06-16 19:30:14.606280,0 days 00:02:02.632733000,1024,50000,0.09445598924605458,0.239348534512501,0.95,0,0.00016332301683578477,small,1500,PRUNED
298,298,825.0414428710938,2021-06-16 19:29:05.825709,2021-06-16 19:31:09.057469,0 days 00:02:03.231760000,1024,500000,0.0677692483979343,0.23703641877052437,0.95,0,0.00015807190450540945,small,1500,PRUNED
299,299,797.3179321289062,2021-06-16 19:29:44.869711,2021-06-16 19:31:48.378251,0 days 00:02:03.508540000,1024,500000,0.10088112891123191,0.430304123061747,0.9,0,0.00015307100621377799,small,1500,PRUNED
300,300,21.65230941772461,2021-06-16 19:30:14.607730,2021-06-16 19:32:25.209020,0 days 00:02:10.601290000,1024,500000,0.10108748272723948,0.13055395076035264,0.95,0,0.00014493047566880524,small,5000,PRUNED
301,301,-287.4363098144531,2021-06-16 19:31:09.058657,2021-06-16 19:31:55.933755,0 days 00:00:46.875098000,256,50000,0.10076292974191675,0.18332729971053044,0.95,10000,0.0002071357211472179,small,1000,PRUNED
302,302,472.7048645019531,2021-06-16 19:31:48.379302,2021-06-16 19:33:01.052264,0 days 00:01:12.672962000,1024,50000,0.09839518204984195,0.18210136705756394,0.95,10000,0.00028950481762759486,small,5000,PRUNED
303,303,1420.32958984375,2021-06-16 19:31:55.934669,2021-06-16 19:36:11.275037,0 days 00:04:15.340368000,1024,50000,0.09668609508934775,0.1411197230948789,0.999,0,0.0002781292433995163,small,1000,PRUNED
304,304,-6.983597278594971,2021-06-16 19:32:25.210331,2021-06-16 19:32:31.039678,0 days 00:00:05.829347000,1024,50000,0.08218929686556833,0.13180927819949395,0.999,20000,0.0002782266128129046,small,10000,PRUNED
305,305,722.7001953125,2021-06-16 19:32:31.040735,2021-06-16 19:34:31.709483,0 days 00:02:00.668748000,1024,50000,0.09622752683472564,0.21211885224915164,0.999,0,0.00019285798177870987,small,1000,PRUNED
306,306,1420.6058349609375,2021-06-16 19:33:01.053175,2021-06-16 19:37:11.853109,0 days 00:04:10.799934000,1024,50000,0.13032835815598798,0.145183385786789,0.999,0,0.0009409042571348867,small,1000,PRUNED
307,307,1351.204345703125,2021-06-16 19:34:31.710440,2021-06-16 19:41:04.400904,0 days 00:06:32.690464000,1024,50000,0.1283481963226245,0.14614232918568204,0.999,0,0.0010091463255534553,small,1000,COMPLETE
308,308,1451.90283203125,2021-06-16 19:36:11.276090,2021-06-16 19:42:40.298867,0 days 00:06:29.022777000,1024,100000,0.10519049589901439,0.1970539977768641,0.99,0,0.0014213238126580025,small,200,COMPLETE
309,309,738.10986328125,2021-06-16 19:37:11.854173,2021-06-16 19:38:31.216552,0 days 00:01:19.362379000,128,100000,0.10418193426213249,0.19832760329262297,0.99,0,0.0013367188617162298,small,1500,PRUNED
310,310,644.9197998046875,2021-06-16 19:38:31.217521,2021-06-16 19:40:06.076514,0 days 00:01:34.858993000,1024,50000,0.11039327159905425,0.22035129934045072,0.99,5000,0.00010422342657655234,small,200,PRUNED
311,311,1436.8250732421875,2021-06-16 19:40:06.077631,2021-06-16 19:46:08.605405,0 days 00:06:02.527774000,1024,50000,0.07518581793324977,0.22426274886082687,0.99,0,0.0002286776821485633,small,1000,COMPLETE
312,312,1431.401123046875,2021-06-16 19:41:04.402531,2021-06-16 19:48:20.326294,0 days 00:07:15.923763000,1024,50000,0.10421428792357515,0.22717575383327182,0.99,1000,0.00023432141754563612,medium,1000,PRUNED
313,313,-75.0694580078125,2021-06-16 19:42:40.300538,2021-06-16 19:44:39.861270,0 days 00:01:59.560732000,1024,100000,0.1046563613534438,0.1691961667722402,0.99,0,0.001830781153530566,small,1000,PRUNED
314,314,706.1180419921875,2021-06-16 19:44:39.862392,2021-06-16 19:46:29.974169,0 days 00:01:50.111777000,1024,100000,0.08836473341996014,0.45777835997611255,0.99,0,0.00023904613263890258,small,200,PRUNED
315,315,-317.37884521484375,2021-06-16 19:46:08.606989,2021-06-16 19:52:19.079154,0 days 00:06:10.472165000,1024,100000,0.08762283637636639,0.19202746169251206,0.99,0,0.00021200731727086304,small,200,COMPLETE
316,316,460.3453674316406,2021-06-16 19:46:29.975390,2021-06-16 19:48:22.231632,0 days 00:01:52.256242000,1024,50000,0.07573013494474447,0.1946004270288762,0.99,0,0.00022039571341717266,small,200,PRUNED
317,317,304.2891845703125,2021-06-16 19:48:20.327237,2021-06-16 19:50:19.746481,0 days 00:01:59.419244000,1024,50000,0.08077048430538274,0.20408525960897,0.99,0,0.00018678891653440885,small,200,PRUNED
318,318,1406.0740966796875,2021-06-16 19:48:22.233128,2021-06-16 19:52:40.919816,0 days 00:04:18.686688000,1024,100000,0.06190898370842061,0.10397003588742014,0.999,0,0.002660281861327674,small,200,PRUNED
319,319,811.991943359375,2021-06-16 19:50:19.747723,2021-06-16 19:52:25.605391,0 days 00:02:05.857668000,1024,100000,0.09254319779018347,0.20713127317428345,0.999,0,0.0020092806359078247,small,200,PRUNED
320,320,1304.1689453125,2021-06-16 19:52:19.080900,2021-06-16 19:56:35.494562,0 days 00:04:16.413662000,1024,100000,0.07697098429912973,0.21208834377427518,0.999,0,0.000339619114500779,small,200,PRUNED
321,321,1423.8604736328125,2021-06-16 19:52:25.606391,2021-06-16 19:56:38.357835,0 days 00:04:12.751444000,1024,100000,0.07440893091791365,0.21702979629182978,0.98,0,0.00035337838674385347,small,1000,PRUNED
322,322,838.9606323242188,2021-06-16 19:52:40.920733,2021-06-16 19:54:10.882474,0 days 00:01:29.961741000,512,50000,0.07593398105988804,0.4702402377902168,0.99,0,7.247750459475006e-05,small,1000,PRUNED
323,323,1406.3497314453125,2021-06-16 19:54:10.883689,2021-06-16 19:58:19.865246,0 days 00:04:08.981557000,1024,50000,0.1147453528380531,0.2162013581932605,0.99,0,0.00029943143215004813,small,1000,PRUNED
324,324,817.6433715820312,2021-06-16 19:56:35.495469,2021-06-16 19:58:33.097295,0 days 00:01:57.601826000,1024,50000,0.08386281734822223,0.24888965701265003,0.99,0,0.00017996878405002442,small,1000,PRUNED
325,325,764.14404296875,2021-06-16 19:56:38.358873,2021-06-16 19:58:47.119703,0 days 00:02:08.760830000,1024,50000,0.12212948599445338,0.2501531200660493,0.99,0,0.0015840936268091707,small,1000,PRUNED
326,326,1427.8349609375,2021-06-16 19:58:19.866170,2021-06-16 20:05:07.116155,0 days 00:06:47.249985000,1024,50000,0.08429265903782213,0.17702978956176046,0.99,0,0.001513189461214502,small,1000,COMPLETE
327,327,-404.6684265136719,2021-06-16 19:58:33.098599,2021-06-16 19:58:38.645938,0 days 00:00:05.547339000,1024,50000,0.10982471449941354,0.22642774940366542,0.99,20000,0.001297959018895422,small,1000,PRUNED
328,328,812.025146484375,2021-06-16 19:58:38.647039,2021-06-16 20:00:43.633330,0 days 00:02:04.986291000,1024,50000,0.12327439988677812,0.17893004344257576,0.999,0,0.0015339219653066971,small,1000,PRUNED
329,329,764.2515869140625,2021-06-16 19:58:47.120660,2021-06-16 20:00:47.604698,0 days 00:02:00.484038000,1024,50000,0.12327271697959623,0.2298758172438598,0.999,0,0.00017007216393521662,small,1000,PRUNED
330,330,813.557373046875,2021-06-16 20:00:43.634178,2021-06-16 20:02:43.467762,0 days 00:01:59.833584000,1024,50000,0.11633177019394293,0.437638492989069,0.99,0,0.00012456523378312896,small,1000,PRUNED
331,331,108.2913818359375,2021-06-16 20:00:47.605705,2021-06-16 20:02:48.417639,0 days 00:02:00.811934000,1024,50000,0.09389640200776508,0.2659188928980202,0.99,0,0.0001252757670480582,small,1000,PRUNED
332,332,-144.65335083007812,2021-06-16 20:02:43.468720,2021-06-16 20:04:47.348898,0 days 00:02:03.880178000,1024,50000,0.09353659323617051,0.1960326630485495,0.99,1000,0.0002935548606926536,small,1500,PRUNED
333,333,1438.3076171875,2021-06-16 20:02:48.418759,2021-06-16 20:07:30.682722,0 days 00:04:42.263963000,256,50000,0.10674394008191519,0.20344395368376947,0.99,1000,0.0002327613348355213,small,1500,COMPLETE
334,334,820.7472534179688,2021-06-16 20:04:47.350130,2021-06-16 20:06:25.270900,0 days 00:01:37.920770000,256,50000,0.19470880896410778,0.48841779109383165,0.9,0,0.0002355696681672895,small,1000,PRUNED
335,335,-6.983597278594971,2021-06-16 20:05:07.118046,2021-06-16 20:05:13.144512,0 days 00:00:06.026466000,256,50000,0.06824707079519712,0.4491230889435331,0.9,20000,0.0002491001781478019,small,1500,PRUNED
336,336,461.08551025390625,2021-06-16 20:05:13.145568,2021-06-16 20:07:07.022745,0 days 00:01:53.877177000,512,50000,0.1068042408149156,0.28979069495256204,0.999,0,0.00039911553077878346,small,10000,PRUNED
337,337,393.795654296875,2021-06-16 20:06:25.271983,2021-06-16 20:08:13.427238,0 days 00:01:48.155255000,512,50000,0.10680979271920864,0.20388619656005186,0.999,0,0.000405676093823063,small,10000,PRUNED
338,338,834.0311889648438,2021-06-16 20:07:07.023809,2021-06-16 20:09:23.284294,0 days 00:02:16.260485000,1024,50000,0.13336677059460667,0.22446901566431812,0.999,0,0.0001914627430220842,small,1000,PRUNED
339,339,-52.277496337890625,2021-06-16 20:07:30.684174,2021-06-16 20:08:58.570136,0 days 00:01:27.885962000,256,50000,0.11214331481748707,0.2036641048549681,0.95,1000,0.00019770103332802613,small,1500,PRUNED
340,340,1380.5916748046875,2021-06-16 20:08:13.428284,2021-06-16 20:11:41.973649,0 days 00:03:28.545365000,256,50000,0.11260676707073608,0.20665943259505098,0.95,1000,0.00019702519019050801,small,1500,PRUNED
341,341,797.0737915039062,2021-06-16 20:08:58.571265,2021-06-16 20:10:42.487254,0 days 00:01:43.915989000,256,50000,0.1183361087719546,0.18826479840496854,0.99,1000,0.00016622585570945576,small,1500,PRUNED
342,342,429.64935302734375,2021-06-16 20:09:23.285416,2021-06-16 20:11:02.161276,0 days 00:01:38.875860000,128,50000,0.11917944419677272,0.1847475082659572,0.99,1000,0.0002732187089460591,small,1500,PRUNED
343,343,802.7059326171875,2021-06-16 20:10:42.488532,2021-06-16 20:12:27.208645,0 days 00:01:44.720113000,256,50000,0.115119354484586,0.166366066655274,0.99,1000,0.0002709402760572113,small,1500,PRUNED
344,344,853.7791748046875,2021-06-16 20:11:02.162541,2021-06-16 20:12:46.960189,0 days 00:01:44.797648000,256,50000,0.11095920513712336,0.16524770686840679,0.99,1000,0.00021886555120618332,small,1500,PRUNED
345,345,756.46630859375,2021-06-16 20:11:41.974504,2021-06-16 20:13:20.567070,0 days 00:01:38.592566000,256,50000,0.12683052892856064,0.23298652507441187,0.99,1000,0.00013681126046185697,small,1500,PRUNED
346,346,741.5256958007812,2021-06-16 20:12:27.209672,2021-06-16 20:13:53.938664,0 days 00:01:26.728992000,256,50000,0.09840435649490024,0.23544411450988612,0.99,1000,0.00014656040004597126,small,1500,PRUNED
347,347,787.5087280273438,2021-06-16 20:12:46.961258,2021-06-16 20:14:56.702840,0 days 00:02:09.741582000,1024,50000,0.10012954856305234,0.2382824694266742,0.999,0,0.0001464287207785923,small,1000,PRUNED
348,348,1418.9798583984375,2021-06-16 20:13:20.567983,2021-06-16 20:19:43.553435,0 days 00:06:22.985452000,1024,500000,0.10078055886640538,0.21229063032519854,0.999,0,0.0003311775131916593,small,1000,COMPLETE
349,349,782.3126831054688,2021-06-16 20:13:53.939987,2021-06-16 20:15:56.869282,0 days 00:02:02.929295000,1024,500000,0.10229626359268738,0.21691478451923646,0.999,0,0.0003071008064306744,small,1000,PRUNED
350,350,1396.0889892578125,2021-06-16 20:14:56.704249,2021-06-16 20:19:06.715421,0 days 00:04:10.011172000,1024,500000,0.10425084017681659,0.2211554903568016,0.999,0,0.0003227313656652371,small,1000,PRUNED
351,351,788.9730224609375,2021-06-16 20:15:56.870380,2021-06-16 20:17:57.088517,0 days 00:02:00.218137000,1024,50000,0.10590984276056946,0.46059924127584734,0.995,0,0.00033882984324391444,small,1000,PRUNED
352,352,844.0757446289062,2021-06-16 20:17:57.089528,2021-06-16 20:20:02.303201,0 days 00:02:05.213673000,1024,50000,0.12663722832941565,0.19305185427973215,0.99,0,0.00023272930991886825,small,1000,PRUNED
353,353,803.112548828125,2021-06-16 20:19:06.717178,2021-06-16 20:21:19.835757,0 days 00:02:13.118579000,1024,50000,0.10922973392083397,0.19587019602166264,0.99,0,0.00024373301728397288,small,1000,PRUNED
354,354,-405.0184326171875,2021-06-16 20:19:43.554830,2021-06-16 20:19:48.721672,0 days 00:00:05.166842000,1024,50000,0.12586034438071436,0.014650272984053164,0.99,20000,0.00023411057999522263,small,1500,PRUNED
355,355,1411.9403076171875,2021-06-16 20:19:48.722401,2021-06-16 20:24:34.765088,0 days 00:04:46.042687000,1024,50000,0.1089790432152046,0.19268196852525477,0.99,0,0.00017665180650122754,small,1000,PRUNED
356,356,1387.0672607421875,2021-06-16 20:20:02.304556,2021-06-16 20:25:07.825420,0 days 00:05:05.520864000,1024,50000,0.10878056246982873,0.1988441183333545,0.98,0,0.00016566497557474194,small,1,PRUNED
357,357,-249.7030792236328,2021-06-16 20:21:19.836985,2021-06-16 20:23:26.969601,0 days 00:02:07.132616000,1024,50000,0.11663182060327877,0.20616982982758775,0.9999,5000,0.00016283614468360337,small,1,PRUNED
358,358,780.5567016601562,2021-06-16 20:23:26.970679,2021-06-16 20:25:39.076590,0 days 00:02:12.105911000,1024,50000,0.09557801694318288,0.22247942876400936,0.99,0,0.0001823622763798801,small,1500,PRUNED
359,359,726.4340209960938,2021-06-16 20:24:34.766272,2021-06-16 20:26:45.554183,0 days 00:02:10.787911000,1024,50000,0.0963197065362428,0.2253383815119492,0.98,0,0.001273223690917122,small,1500,PRUNED
360,360,10.349593162536621,2021-06-16 20:25:07.826503,2021-06-16 20:26:11.649772,0 days 00:01:03.823269000,1024,50000,0.09595487604592506,0.2271763884853579,0.99,10000,0.001202296968024078,small,1500,PRUNED
361,361,441.6449279785156,2021-06-16 20:25:39.077702,2021-06-16 20:26:47.884877,0 days 00:01:08.807175000,1024,100000,0.12051123189884483,0.24515233202043518,0.99,10000,0.0011730543618308708,small,1000,PRUNED
362,362,719.2565307617188,2021-06-16 20:26:11.650742,2021-06-16 20:27:46.787178,0 days 00:01:35.136436000,1024,100000,0.12136945767814578,0.17614469977596034,0.999,5000,0.00010819030409895376,small,1000,PRUNED
363,363,1435.804443359375,2021-06-16 20:26:45.555108,2021-06-16 20:32:51.663115,0 days 00:06:06.108007000,1024,100000,0.12164843226342197,0.244531958403545,0.999,5000,0.0004320163777990082,small,1000,COMPLETE
364,364,833.2227172851562,2021-06-16 20:26:47.885685,2021-06-16 20:28:29.407888,0 days 00:01:41.522203000,1024,50000,0.09125510523198613,0.12656546116866013,0.999,5000,0.000453918248090609,small,1000,PRUNED
365,365,669.0263671875,2021-06-16 20:27:46.788674,2021-06-16 20:29:20.619269,0 days 00:01:33.830595000,1024,50000,0.11300316711268657,0.4348173797512278,0.99,5000,0.0003760349601552195,small,1000,PRUNED
366,366,-6.983597278594971,2021-06-16 20:28:29.408819,2021-06-16 20:28:35.224328,0 days 00:00:05.815509000,1024,50000,0.0881221823924597,0.2596305859349711,0.99,20000,0.0002747247094768494,small,1000,PRUNED
367,367,815.6722412109375,2021-06-16 20:28:35.225003,2021-06-16 20:30:11.220084,0 days 00:01:35.995081000,1024,50000,0.11552923678037379,0.4263710064953495,0.99,5000,0.000369245272143227,small,1000,PRUNED
368,368,811.3635864257812,2021-06-16 20:29:20.620469,2021-06-16 20:31:04.130196,0 days 00:01:43.509727000,512,50000,0.10320079629258773,0.20959681201549893,0.99,0,0.0024246826122743615,small,1500,PRUNED
369,369,33.93857955932617,2021-06-16 20:30:11.221044,2021-06-16 20:31:49.359488,0 days 00:01:38.138444000,512,50000,0.13087143121241107,0.21393324028087898,0.999,0,0.00021539056705623943,small,5000,PRUNED
370,370,712.7561645507812,2021-06-16 20:31:04.131324,2021-06-16 20:33:05.353455,0 days 00:02:01.222131000,1024,50000,0.13190297990386934,0.45156544240408203,0.999,0,0.00020790598874349938,small,5000,PRUNED
371,371,814.5606079101562,2021-06-16 20:31:49.360636,2021-06-16 20:33:43.226734,0 days 00:01:53.866098000,1024,50000,0.10023597905843722,0.45517301715572184,0.95,1000,0.000272453569114556,small,1000,PRUNED
372,372,616.8638916015625,2021-06-16 20:32:51.665370,2021-06-16 20:34:24.620536,0 days 00:01:32.955166000,1024,100000,0.11561592804819254,0.27440600711100605,0.95,5000,0.0005178956528246484,small,1500,PRUNED
373,373,680.8695068359375,2021-06-16 20:33:05.354438,2021-06-16 20:34:41.121096,0 days 00:01:35.766658000,1024,100000,0.09959837834196274,0.24396458516453237,0.95,5000,0.00041262256866754943,small,1500,PRUNED
374,374,812.9085693359375,2021-06-16 20:33:43.228021,2021-06-16 20:35:25.111578,0 days 00:01:41.883557000,1024,100000,0.11730449495705489,0.24525065168009066,0.99,5000,0.000453796239061061,small,1500,PRUNED
375,375,661.88037109375,2021-06-16 20:34:24.622121,2021-06-16 20:36:09.604151,0 days 00:01:44.982030000,1024,100000,0.12122191241899354,0.2434054627685671,0.99,5000,0.00040934225505440954,small,1000,PRUNED
376,376,836.6311645507812,2021-06-16 20:34:41.122011,2021-06-16 20:35:44.057062,0 days 00:01:02.935051000,128,100000,0.12065049697354181,0.2555333581299296,0.99,5000,0.0003460109422708075,small,1000,PRUNED
377,377,-306.5135803222656,2021-06-16 20:35:25.112658,2021-06-16 20:36:31.191494,0 days 00:01:06.078836000,128,100000,0.10467299313877054,0.23092060577407267,0.99,5000,0.0003377312053190665,small,1000,PRUNED
378,378,803.7903442382812,2021-06-16 20:35:44.058739,2021-06-16 20:37:25.989787,0 days 00:01:41.931048000,1024,100000,0.10575199715308993,0.24079108285035178,0.99,5000,0.0004827948595025682,small,1000,PRUNED
379,379,919.3338623046875,2021-06-16 20:36:09.605146,2021-06-16 20:39:58.272783,0 days 00:03:48.667637000,1024,100000,0.10598700347735766,0.3307885649975195,0.999,5000,0.0010411013914359483,small,1000,PRUNED
380,380,733.7745361328125,2021-06-16 20:36:31.192469,2021-06-16 20:38:03.813825,0 days 00:01:32.621356000,1024,50000,0.080448120369912,0.10784538668622394,0.999,5000,0.00026833022330248924,small,1000,PRUNED
381,381,48.645751953125,2021-06-16 20:37:25.990797,2021-06-16 20:39:03.412061,0 days 00:01:37.421264000,1024,50000,0.09133694958152218,0.15695739931993982,0.999,5000,0.0009215199238583366,small,1000,PRUNED
382,382,779.6143188476562,2021-06-16 20:38:03.815020,2021-06-16 20:39:35.750327,0 days 00:01:31.935307000,1024,50000,0.1118030808201314,0.4448284576284436,0.999,5000,0.0009090559088973564,small,1500,PRUNED
383,383,753.1712036132812,2021-06-16 20:39:03.413381,2021-06-16 20:40:36.739801,0 days 00:01:33.326420000,1024,50000,0.1088562582658373,0.21721139356610128,0.99,5000,0.0003046874925786099,small,1500,PRUNED
384,384,-404.59149169921875,2021-06-16 20:39:35.751611,2021-06-16 20:39:40.785044,0 days 00:00:05.033433000,1024,50000,0.09332763763288632,0.23355334542435072,0.99,20000,0.0005756278061840401,small,1000,PRUNED
385,385,1429.135986328125,2021-06-16 20:39:40.786179,2021-06-16 20:43:55.175787,0 days 00:04:14.389608000,1024,50000,0.11041812964562178,0.21750142753728105,0.995,1000,0.0018922372650539826,small,1500,PRUNED
